pkg,depends
libxml2,glibc
libxml2,icu
libxml2,ncurses
libxml2,readline
libxml2,xz
libxml2,zlib
links,brotli
links,libbrotlidec.so
links,bzip2
links,libbz2.so
links,gpm
links,libgpm.so
links,libevent
links,openssl
links,xz
links,zstd
links,libzstd.so
linux,coreutils
linux,initramfs
linux,kmod
linux-firmware,linux-firmware-whence
linux-firmware-bnx2x,linux-firmware-whence
linux-firmware-liquidio,linux-firmware-whence
linux-firmware-marvell,linux-firmware-whence
linux-firmware-mellanox,linux-firmware-whence
linux-firmware-nfp,linux-firmware-whence
linux-firmware-qcom,linux-firmware-whence
linux-firmware-qlogic,linux-firmware-whence
linux-headers,pahole
linux-lts,coreutils
linux-lts,initramfs
linux-lts,kmod
linux-lts-headers,pahole
logrotate,popt
logrotate,gzip
logrotate,acl
lto-dump,gcc
lto-dump,libisl.so
lvm2,bash
lvm2,device-mapper
lvm2,systemd-libs
lvm2,libudev.so
lvm2,util-linux-libs
lvm2,libblkid.so
lvm2,readline
lvm2,libreadline.so
lvm2,thin-provisioning-tools
lvm2,libaio
lvm2,libaio.so
lz4,glibc
lzo,glibc
m4,glibc
m4,bash
make,glibc
make,guile
man-db,bash
man-db,gdbm
man-db,zlib
man-db,groff
man-db,libpipeline
man-db,less
man-db,libseccomp
man-db,glibc
mdadm,glibc
mdadm,systemd
minizip,glibc
minizip,zlib
mkinitcpio,awk
mkinitcpio,mkinitcpio-busybox
mkinitcpio,kmod
mkinitcpio,util-linux
mkinitcpio,libarchive
mkinitcpio,coreutils
mkinitcpio,bash
mkinitcpio,binutils
mkinitcpio,diffutils
mkinitcpio,findutils
mkinitcpio,grep
mkinitcpio,filesystem
mkinitcpio,zstd
mkinitcpio,systemd
mkinitcpio-busybox,glibc
mkinitcpio-busybox,libxcrypt
mkinitcpio-nfs-utils,glibc
mpdecimal,glibc
mpdecimal,gcc-libs
mpfr,glibc
mpfr,gmp
nano,ncurses
nano,file
nano,glibc
ncurses,glibc
ncurses,gcc-libs
net-tools,glibc
nettle,glibc
nettle,gmp
nfs-utils,rpcbind
nfs-utils,nfsidmap
nfs-utils,gssproxy
nfs-utils,libevent
nfs-utils,device-mapper
nfs-utils,libxml2
nfs-utils,libtirpc
nfs-utils,e2fsprogs
nfs-utils,keyutils
nfs-utils,util-linux-libs
nfs-utils,libnl
nfs-utils,krb5
nfs-utils,libcap
nfs-utils,gcc-libs
nfs-utils,glibc
nfs-utils,sh
nfs-utils,readline
nfsidmap,libldap
nfsidmap,krb5
nfsidmap,glibc
nilfs-utils,util-linux
npth,glibc
npth,sh
nspr,glibc
nspr,sh
nss,glibc
nss,nspr
nss,p11-kit
nss,sh
nss,sqlite
nss,zlib
openldap,libldap
openldap,libtool
openldap,unixodbc
openldap,perl
openldap,systemd-libs
openldap,libsodium
openssh,glibc
openssh,krb5
openssh,libkrb5.so
openssh,libgssapi_krb5.so
openssh,libedit
openssh,libedit.so
openssh,libxcrypt
openssh,libcrypt.so
openssh,openssl
openssh,libcrypto.so
openssh,pam
openssh,libpam.so
openssh,zlib
openssh,libz.so
openssl,glibc
openssl-1.1,glibc
p11-kit,coreutils
p11-kit,glibc
p11-kit,libtasn1
p11-kit,systemd-libs
p11-kit,libp11-kit
p11-kit,libp11-kit.so
p11-kit,libsystemd.so
pacman,bash
pacman,coreutils
pacman,curl
