pkg,depends
libreoffice-still,libcmis
libreoffice-still,libtommath
libreoffice-still,libzmf
libreoffice-still,libatomic_ops
libreoffice-still,xmlsec
libreoffice-still,libnumbertext
libreoffice-still,gpgme
libreoffice-still,libfreehand
libreoffice-still,libstaroffice
libreoffice-still,libepubgen
libreoffice-still,libqxp
libreoffice-still,libepoxy
libreoffice-still,zxing-cpp
libreoffice-still,xdg-utils
libreoffice-still,libldap
libreoffice-still,fontconfig
libreoffice-still,zlib
libreoffice-still,libpng
libreoffice-still,freetype2
libreoffice-still,raptor
libreoffice-still,libxml2
libreoffice-still,cairo
libreoffice-still,libx11
libreoffice-still,expat
libreoffice-still,glib2
libreoffice-still,boost-libs
libreoffice-still,libtiff
libreoffice-still,dbus
libreoffice-still,glibc
libreoffice-still,librevenge
libreoffice-still,libxext
libreoffice-still,openjpeg2
libreoffice-still,argon2
libreoffice-still-af,libreoffice-still
libreoffice-still-am,libreoffice-still
libreoffice-still-ar,libreoffice-still
libreoffice-still-as,libreoffice-still
libreoffice-still-ast,libreoffice-still
libreoffice-still-be,libreoffice-still
libreoffice-still-bg,libreoffice-still
libreoffice-still-bn,libreoffice-still
libreoffice-still-bn-in,libreoffice-still
libreoffice-still-bo,libreoffice-still
libreoffice-still-br,libreoffice-still
libreoffice-still-brx,libreoffice-still
libreoffice-still-bs,libreoffice-still
libreoffice-still-ca,libreoffice-still
libreoffice-still-ca-valencia,libreoffice-still
libreoffice-still-ckb,libreoffice-still
libreoffice-still-cs,libreoffice-still
libreoffice-still-cy,libreoffice-still
libreoffice-still-da,libreoffice-still
libreoffice-still-de,libreoffice-still
libreoffice-still-dgo,libreoffice-still
libreoffice-still-dsb,libreoffice-still
libreoffice-still-dz,libreoffice-still
libreoffice-still-el,libreoffice-still
libreoffice-still-en-gb,libreoffice-still
libreoffice-still-en-za,libreoffice-still
libreoffice-still-eo,libreoffice-still
libreoffice-still-es,libreoffice-still
libreoffice-still-et,libreoffice-still
libreoffice-still-eu,libreoffice-still
libreoffice-still-fa,libreoffice-still
libreoffice-still-fi,libreoffice-still
libreoffice-still-fr,libreoffice-still
libreoffice-still-fur,libreoffice-still
libreoffice-still-fy,libreoffice-still
libreoffice-still-ga,libreoffice-still
libreoffice-still-gd,libreoffice-still
libreoffice-still-gl,libreoffice-still
libreoffice-still-gu,libreoffice-still
libreoffice-still-gug,libreoffice-still
libreoffice-still-he,libreoffice-still
libreoffice-still-hi,libreoffice-still
libreoffice-still-hr,libreoffice-still
libreoffice-still-hsb,libreoffice-still
libreoffice-still-hu,libreoffice-still
libreoffice-still-id,libreoffice-still
libreoffice-still-is,libreoffice-still
libreoffice-still-it,libreoffice-still
libreoffice-still-ja,libreoffice-still
libreoffice-still-ka,libreoffice-still
libreoffice-still-kab,libreoffice-still
libreoffice-still-kk,libreoffice-still
libreoffice-still-km,libreoffice-still
libreoffice-still-kmr-latn,libreoffice-still
libreoffice-still-kn,libreoffice-still
libreoffice-still-ko,libreoffice-still
libreoffice-still-kok,libreoffice-still
libreoffice-still-ks,libreoffice-still
libreoffice-still-lb,libreoffice-still
libreoffice-still-lo,libreoffice-still
libreoffice-still-lt,libreoffice-still
libreoffice-still-lv,libreoffice-still
libreoffice-still-mai,libreoffice-still
libreoffice-still-mk,libreoffice-still
libreoffice-still-ml,libreoffice-still
libreoffice-still-mn,libreoffice-still
libreoffice-still-mni,libreoffice-still
libreoffice-still-mr,libreoffice-still
libreoffice-still-my,libreoffice-still
libreoffice-still-nb,libreoffice-still
libreoffice-still-ne,libreoffice-still
libreoffice-still-nl,libreoffice-still
libreoffice-still-nn,libreoffice-still
libreoffice-still-nr,libreoffice-still
libreoffice-still-nso,libreoffice-still
libreoffice-still-oc,libreoffice-still
libreoffice-still-om,libreoffice-still
libreoffice-still-or,libreoffice-still
libreoffice-still-pa-in,libreoffice-still
libreoffice-still-pl,libreoffice-still
libreoffice-still-pt,libreoffice-still
libreoffice-still-pt-br,libreoffice-still
libreoffice-still-ro,libreoffice-still
libreoffice-still-ru,libreoffice-still
libreoffice-still-rw,libreoffice-still
libreoffice-still-sa-in,libreoffice-still
libreoffice-still-sat,libreoffice-still
libreoffice-still-sd,libreoffice-still
libreoffice-still-sdk,libreoffice-still
libreoffice-still-sdk,gcc-libs
libreoffice-still-sdk,sh
libreoffice-still-sdk,make
libreoffice-still-sdk,zip
libreoffice-still-sdk,gcc
libreoffice-still-sdk,java-environment
libreoffice-still-si,libreoffice-still
libreoffice-still-sid,libreoffice-still
libreoffice-still-sk,libreoffice-still
libreoffice-still-sl,libreoffice-still
libreoffice-still-sq,libreoffice-still
libreoffice-still-sr,libreoffice-still
libreoffice-still-sr-latn,libreoffice-still
libreoffice-still-ss,libreoffice-still
libreoffice-still-st,libreoffice-still
libreoffice-still-sv,libreoffice-still
libreoffice-still-sw-tz,libreoffice-still
libreoffice-still-szl,libreoffice-still
libreoffice-still-ta,libreoffice-still
libreoffice-still-te,libreoffice-still
libreoffice-still-tg,libreoffice-still
libreoffice-still-th,libreoffice-still
libreoffice-still-tn,libreoffice-still
libreoffice-still-tr,libreoffice-still
libreoffice-still-ts,libreoffice-still
libreoffice-still-tt,libreoffice-still
libreoffice-still-ug,libreoffice-still
libreoffice-still-uk,libreoffice-still
libreoffice-still-uz,libreoffice-still
libreoffice-still-ve,libreoffice-still
libreoffice-still-vec,libreoffice-still
libreoffice-still-vi,libreoffice-still
libreoffice-still-xh,libreoffice-still
libreoffice-still-zh-cn,libreoffice-still
libreoffice-still-zh-tw,libreoffice-still
libreoffice-still-zu,libreoffice-still
libreplaygain,glibc
librepo,curl
librepo,glib2
librepo,gpgme
librepo,libxml2
librepo,openssl
libressl,glibc
librest,glib2
librest,libxml2
librest,libsoup3
librest,json-glib
librest,libglib-2.0.so
librest,libgobject-2.0.so
librest,libgio-2.0.so
librest,libxml2.so
librest,libsoup-3.0.so
librest,libjson-glib-1.0.so
librest-demos,librest
librest-demos,libadwaita
librest-demos,gtksourceview5
libretls,openssl
libretro-beetle-pce,gcc-libs
libretro-beetle-pce,glibc
libretro-beetle-pce,libretro-core-info
libretro-beetle-pce,zlib
libretro-beetle-pce-fast,gcc-libs
libretro-beetle-pce-fast,glibc
libretro-beetle-pce-fast,libretro-core-info
libretro-beetle-pce-fast,zlib
libretro-beetle-psx,libretro-core-info
libretro-beetle-psx,zlib
libretro-beetle-psx-hw,libretro-core-info
libretro-beetle-psx-hw,zlib
libretro-beetle-psx-hw,libgl
libretro-beetle-supergrafx,gcc-libs
libretro-beetle-supergrafx,glibc
libretro-beetle-supergrafx,libretro-core-info
libretro-beetle-supergrafx,zlib
libretro-blastem,glibc
libretro-blastem,libretro-core-info
libretro-bsnes,gcc-libs
libretro-bsnes,libretro-core-info
libretro-bsnes-hd,gcc-libs
libretro-bsnes-hd,libretro-core-info
libretro-bsnes2014,libretro-core-info
libretro-citra,libretro-core-info
libretro-citra,sdl2
libretro-desmume,libgl
libretro-desmume,libretro-core-info
libretro-dolphin,alsa-lib
libretro-dolphin,bluez-libs
libretro-dolphin,bzip2
libretro-dolphin,enet
libretro-dolphin,fmt
libretro-dolphin,gcc-libs
libretro-dolphin,glibc
libretro-dolphin,hidapi
libretro-dolphin,libevdev
libretro-dolphin,libgl
libretro-dolphin,libretro-core-info
libretro-dolphin,libusb
libretro-dolphin,libx11
libretro-dolphin,libxi
libretro-dolphin,libxrandr
libretro-dolphin,lzo
libretro-dolphin,sfml
libretro-dolphin,systemd-libs
libretro-dolphin,xz
libretro-dolphin,zlib
libretro-dolphin,zstd
libretro-flycast,libgl
libretro-flycast,libretro-core-info
libretro-flycast,zlib
libretro-gambatte,libretro-core-info
libretro-genesis-plus-gx,libretro-core-info
libretro-genesis-plus-gx,libvorbis
libretro-genesis-plus-gx,zlib
libretro-kronos,glibc
libretro-kronos,libgl
libretro-kronos,libretro-core-info
libretro-mame,alsa-lib
libretro-mame,glibc
libretro-mame,libretro-core-info
libretro-mame,libgl
libretro-mame,zlib
libretro-mame2016,alsa-lib
libretro-mame2016,glibc
libretro-mame2016,libretro-core-info
libretro-mame2016,libgl
libretro-mame2016,zlib
libretro-melonds,libgl
libretro-melonds,libretro-core-info
libretro-mesen,gcc-libs
libretro-mesen,libretro-core-info
libretro-mesen-s,gcc-libs
libretro-mesen-s,libretro-core-info
libretro-mgba,libretro-core-info
libretro-mupen64plus-next,gcc-libs
libretro-mupen64plus-next,glibc
libretro-mupen64plus-next,libgl
libretro-mupen64plus-next,libpng
libretro-mupen64plus-next,libretro-core-info
libretro-mupen64plus-next,minizip
libretro-mupen64plus-next,xxhash
libretro-mupen64plus-next,zlib
libretro-nestopia,libretro-core-info
libretro-parallel-n64,libgl
libretro-parallel-n64,libretro-core-info
libretro-pcsx2,ffmpeg
libretro-pcsx2,gcc-libs
libretro-pcsx2,glibc
libretro-pcsx2,libaio
libretro-pcsx2,libglvnd
libretro-pcsx2,soundtouch
libretro-pcsx2,systemd-libs
libretro-pcsx2,xorg-xrandr
libretro-pcsx2,zlib
libretro-picodrive,glibc
libretro-picodrive,libretro-core-info
libretro-play,bzip2
libretro-play,glew
libretro-play,glibc
libretro-play,glu
libretro-play,icu
libretro-play,libgl
libretro-play,libretro-core-info
libretro-play,zlib
libretro-ppsspp,gcc-libs
libretro-ppsspp,glew
libretro-ppsspp,glibc
libretro-ppsspp,libgl
libretro-ppsspp,libpng
libretro-ppsspp,libretro-core-info
libretro-ppsspp,libzip
libretro-ppsspp,ppsspp-assets
libretro-ppsspp,sdl2
libretro-ppsspp,snappy
libretro-ppsspp,zlib
libretro-ppsspp,zstd
libretro-retrodream,libgl
libretro-retrodream,libretro-core-info
libretro-sameboy,glibc
libretro-sameboy,libretro-core-info
libretro-sameboy,libgl
libretro-scummvm,libretro-core-info
libretro-snes9x,libretro-core-info
libretro-yabause,glew
libretro-yabause,glibc
libretro-yabause,libretro-core-info
librevenge,zlib
librevenge,gcc-libs
librevenge,glibc
librime,boost-libs
librime,capnproto
librime,gcc-libs
librime,glibc
librime,opencc
librime,yaml-cpp
librime,leveldb
librime,librime-data
librime,lua
librime,google-glog
librime,marisa
librime-data,rime-prelude
librime-data,rime-essay
librime-data,rime-luna-pinyin
librime-data,rime-bopomofo
librime-data,rime-cangjie
librime-data,rime-stroke
librime-data,rime-terra-pinyin
librist,cjson
librist,mbedtls
librsvg,cairo
librsvg,dav1d
librsvg,freetype2
librsvg,gcc-libs
librsvg,gdk-pixbuf2
librsvg,glib2
librsvg,glibc
librsvg,harfbuzz
librsvg,libxml2
librsvg,pango
librsync,popt
librtmp0,glibc
librtmp0,gnutls
librtmp0,zlib
librttopo,geos
librustls,gcc-libs
librustls,glibc
libsamplerate,glibc
libsbsms,gcc-libs
libsbsms,glibc
libscanmem,readline
libsecp256k1,glibc
libsemigroups,fmt
libsemigroups,gcc-libs
libsemigroups,glibc
libserialport,glibc
libshairport,openssl
libshairport,libao
libshout,libvorbis
libshout,libtheora
libshout,speex
libshout,openssl
libshumate,cairo
libshumate,gcc-libs
libshumate,gdk-pixbuf2
libshumate,glib2
libshumate,glibc
libshumate,graphene
libshumate,gtk4
libshumate,json-glib
libshumate,libsoup3
libshumate,libsysprof-capture
libshumate,pango
libshumate,protobuf-c
libshumate,sqlite
libsidplayfp,glibc
libsidplayfp,gcc-libs
libsidplayfp,libgcrypt
libsigc++,gcc-libs
libsigc++-3.0,gcc-libs
libsignal-protocol-c,glibc
libsigrok,bluez-libs
libsigrok,gcc-libs
libsigrok,glib2
libsigrok,glibc
libsigrok,glibmm
libsigrok,hidapi
libsigrok,libftdi
libsigrok,libieee1284
libsigrok,libserialport
libsigrok,libsigc++
libsigrok,libusb
libsigrok,libzip
libsigrokdecode,glib2
libsigrokdecode,python
libsigsegv,glibc
libsixel,libjpeg-turbo
libsixel,libpng
libsixel,python
libsixel,curl
libsixel,gdk-pixbuf2
libskk,libgee
libskk,libxkbcommon
libskk,json-glib
libslirp,glib2
libsm,libice
libsm,util-linux-libs
libsm,xorgproto
libsm,glibc
libsmbios,glibc
libsmf,glib2
libsndfile,glibc
libsndfile,flac
libsndfile,libFLAC.so
libsndfile,lame
libsndfile,libmp3lame.so
libsndfile,libogg
libsndfile,libogg.so
libsndfile,libvorbis
libsndfile,libvorbis.so
libsndfile,libvorbisenc.so
libsndfile,mpg123
libsndfile,libmpg123.so
libsndfile,opus
libsndfile,libopus.so
libsodium,glibc
libsolv,bzip2
libsolv,expat
libsolv,rpm-tools
libsolv,xz
libsolv,zlib
libsolv,zstd
libsoup,brotli
libsoup,glib-networking
libsoup,glib2
libsoup,krb5
libsoup,libpsl
libsoup,libsysprof-capture
libsoup,libxml2
libsoup,sqlite
libsoup,libbrotlidec.so
libsoup,libgssapi_krb5.so
libsoup,libglib-2.0.so
libsoup,libgobject-2.0.so
libsoup,libgio-2.0.so
libsoup,libpsl.so
libsoup3,brotli
libsoup3,glib-networking
libsoup3,glib2
libsoup3,glibc
libsoup3,krb5
libsoup3,libnghttp2
libsoup3,libpsl
libsoup3,libsysprof-capture
libsoup3,sqlite
libsoup3,zlib
libsoup3,libbrotlidec.so
libsoup3,libgssapi_krb5.so
libsoup3,libglib-2.0.so
libsoup3,libgobject-2.0.so
libsoup3,libgio-2.0.so
libsoup3,libpsl.so
libsoxr,gcc-libs
libspatialite,geos
libspatialite,libfreexl
libspatialite,librttopo
libspatialite,libxml2
libspatialite,minizip
libspatialite,proj
libspatialite,sqlite
libspecbleach,glibc
libspecbleach,fftw
libspecbleach,libfftw3f.so
libspectmorph,cairo
libspectmorph,gcc-libs
libspectmorph,glibc
libspectmorph,fftw
libspectmorph,libfftw3f.so
libspectmorph,libfftw3f_threads.so
libspectmorph,freetype2
libspectmorph,libfreetype.so
libspectmorph,glib2
libspectmorph,libglib-2.0.so
libspectmorph,jack
libspectmorph,libjack.so
libspectmorph,libglvnd
libspectmorph,libGL.so
libspectmorph,libsndfile
libspectmorph,libsndfile.so
libspectmorph,libx11
libspectmorph,qt5-base
libspectmorph,zlib
libspectre,ghostscript
libspectre,glibc
libspeechd,glib2
libspeechd,libtool
libspelling,enchant
libspelling,gcc-libs
libspelling,glib2
libspelling,glibc
libspelling,gtk4
libspelling,gtksourceview5
libspelling,icu
libspelling,pango
libspf2,glibc
libspf2,libnsl
libspiro,glibc
libspnav,glibc
libspnav,libx11
libspng,glibc
libspng,zlib
libsrtp,nss
libssh,glibc
libssh,openssl
libssh,zlib
libstaroffice,librevenge
libstaroffice,zlib
libstaroffice,gcc-libs
libstaroffice,glibc
libstatgrab,ncurses
libstatgrab,perl
libstemmer,glibc
libstrophe,glibc
libstrophe,openssl
libstrophe,expat
libstrophe,zlib
libstrophe,libexpat.so
libsvgtiny,libdom
libsvm,gnuplot
libsvm,python
libsynctex,glibc
libsynctex,zlib
libsysstat,qt6-base
libtar,zlib
libteam,bash
libteam,jansson
libteam,libdaemon
libteam,libdbus
libteam,libnl
libteam,zeromq
libtecla,ncurses
libtermkey,unibilium
libtermkey,libunibilium.so
libtg_owt,libdrm
libtg_owt,libxdamage
libthai,glibc
libthai,libdatrie
libtheora,glibc
libtheora,libogg
libtiff,gcc-libs
libtiff,glibc
libtiff,jbigkit
libtiff,libjpeg-turbo
libtiff,libjpeg.so
libtiff,zlib
libtiff,xz
libtiff,zstd
libtiff4,gcc-libs
libtiff4,libjpeg-turbo
libtiff4,zlib
libtiger,pango
libtiger,libkate
libtomcrypt,libtommath
libtomcrypt,gmp
libtommath,glibc
libtorrent,openssl
libtorrent-rasterbar,boost-libs
libtorrent-rasterbar,openssl
libtpms,glibc
libtpms,openssl
libtraceevent,glibc
libtracefs,glibc
libtracefs,libtraceevent
libtracefs,libtraceevent.so
libu2f-server,openssl
libu2f-server,json-c
libudev0-shim,systemd-libs
libuecc,glibc
libuhd,boost-libs
libuhd,gcc-libs
libuhd,glibc
libuhd,libusb
libuhd,orc
libultrahdr,gcc-libs
libultrahdr,glibc
libultrahdr,libglvnd
libultrahdr,libjpeg-turbo
libunibreak,glibc
libunicode,gcc-libs
libunicode,glibc
libunrar,gcc-libs
libunrar,glibc
libunwind,glibc
libunwind,xz
libunwind,zlib
libupnp,glibc
libupnpp,glibc
libupnpp,gcc-libs
libupnpp,curl
libupnpp,expat
libupnpp,libnpupnp
libupnpp,libnpupnp.so
liburcu,glibc
libusb-compat,libusb
libusb-compat,sh
libusbmuxd,gcc-libs
libusbmuxd,glibc
libusbmuxd,libimobiledevice-glue
libusbmuxd,libplist
libutempter,glibc
libuv,glibc
libuv,libnsl
libva,libdrm
libva,libgl
libva,libx11
libva,libxext
libva,libxfixes
libva,wayland
libva-intel-driver,libva
libva-intel-driver,libdrm
libva-nvidia-driver,gst-plugins-bad-libs
libva-nvidia-driver,libegl
libva-utils,libva
libvdpau,libxext
libvdpau-va-gl,gcc-libs
libvdpau-va-gl,glibc
libvdpau-va-gl,libgl
libvdpau-va-gl,libvdpau
libvdpau-va-gl,libx11
libvdpau-va-gl,libva.so
libvdpau-va-gl,libva-x11.so
libvips,cfitsio
libvips,fftw
libvips,libexif
libvips,libarchive
libvips,libimagequant
libvips,librsvg
libvips,libwebp
libvips,openexr
libvips,highway
libvips,pango
libvips,libcgif
libvips,python
libvips,cairo
libvirt,fuse3
libvirt,gnutls
libvirt,libnbd
libvirt,libnl
libvirt,libpciaccess
libvirt,libssh
libvirt,libxml2
libvirt,numactl
libvirt,parted
libvirt,polkit
libvirt-dbus,libvirt-glib
libvirt-dbus,dbus
libvirt-dbus,libssh
libvirt-glib,libvirt
libvirt-glib,libcap-ng
libvirt-python,python
libvirt-python,libvirt
libvirt-storage-gluster,libvirt
libvirt-storage-gluster,glusterfs
libvirt-storage-iscsi-direct,libvirt
libvirt-storage-iscsi-direct,libiscsi
libvisio,libxml2
libvisio,icu
libvisio,librevenge
libvisio,gcc-libs
libvisio,glibc
libvlc,dbus
libvlc,gcc-libs
libvlc,glibc
libvncserver,gnutls
libvncserver,libgcrypt
libvncserver,libjpeg-turbo
libvncserver,libpng
libvncserver,libsasl
libvncserver,lzo
libvncserver,systemd-libs
libvoikko,gcc-libs
libvolk,gcc-libs
libvolk,glibc
libvolk,orc
libvolk,python
libvorbis,libogg.so
libvpl,gcc-libs
libvpl-tools,libdrm
libvpl-tools,libva
libvpl-tools,libvpl
libvpl-tools,libx11
libvpl-tools,vpl-runtime
libvpl-tools,wayland
libvpx,gcc-libs
libvpx,glibc
libvpx1.3,glibc
libvterm,glibc
libwacom,glib2
libwacom,libevdev
libwacom,libgudev
libwacom,glibc
libwbclient,libbsd
libwebp,giflib
libwebp,glibc
libwebp,libjpeg-turbo
libwebp,libpng
libwebp,libtiff
libwebsockets,glibc
libwebsockets,openssl
libwebsockets,libuv
libwebsockets,libev
libwebsockets,zlib
libwebsockets,libcap.so
libwebsockets,libglib-2.0.so
libwhereami,boost-libs
libwhereami,gcc-libs
libwhereami,glibc
libwhereami,leatherman
libwhereami,leatherman_execution.so
libwhereami,leatherman_file_util.so
libwhereami,leatherman_util.so
libwhereami,leatherman_logging.so
libwhereami,leatherman_locale.so
libwhich,glibc
libwireplumber,gcc-libs
libwireplumber,glibc
libwireplumber,libglib-2.0.so
libwireplumber,libgmodule-2.0.so
libwireplumber,libgobject-2.0.so
libwireplumber,libgio-2.0.so
libwireplumber,libpipewire-0.3.so
libwlocate,glibc
libwlocate,wireless_tools
libwmf,expat
libwmf,freetype2
libwmf,glibc
libwmf,libjpeg-turbo
libwmf,libpng
libwmf,libx11
libwmf,zlib
libwnck,at-spi2-core
libwnck,libatk-1.0.so
libwnck,cairo
libwnck,libcairo.so
libwnck,fontconfig
libwnck,freetype2
libwnck,libfreetype.so
libwnck,gdk-pixbuf2
libwnck,libgdk_pixbuf-2.0.so
libwnck,glib2
libwnck,libgio-2.0.so
libwnck,glibc
libwnck,gtk2
libwnck,harfbuzz
libwnck,libharfbuzz.so
libwnck,libx11
libwnck,libxres
libwnck,pango
libwnck,libpango-1.0.so
libwnck,startup-notification
libwnck3,at-spi2-core
libwnck3,cairo
libwnck3,gdk-pixbuf2
libwnck3,glib2
libwnck3,glibc
libwnck3,gtk3
libwnck3,libx11
libwnck3,libxrender
libwnck3,libxres
libwnck3,pango
libwnck3,startup-notification
libwpd,gcc-libs
libwpd,librevenge
libwpd,glibc
libwpe,gcc-libs
libwpe,glibc
libwpe,libegl
libwpe,libxkbcommon
libwpg,libwpd
libwpg,perl
libwpg,librevenge
libwpg,gcc-libs
libwpg,glibc
libwps,libwpd
libwps,librevenge
libwps,gcc-libs
libwps,glibc
libx11,libxcb
libx11,glibc
libx11,xorgproto
libx86,glibc
libxau,glibc
libxau,xorgproto
libxaw,libxmu
libxaw,libxpm
libxaw,libx11
libxaw,libxt
libxaw,libxext
libxaw,xorgproto
libxaw,glibc
libxcb,xcb-proto
libxcb,libxdmcp
libxcb,libxau
libxcb,glibc
libxcomposite,libxfixes
libxcomposite,xorgproto
libxcomposite,libx11
libxcomposite,glibc
libxcursor,libxfixes
libxcursor,libxrender
libxcursor,default-cursors
libxcursor,libx11
libxcursor,glibc
libxcursor,xorgproto
libxcvt,glibc
libxdamage,libxfixes
libxdamage,xorgproto
libxdamage,libx11
libxdamage,glibc
libxdg-basedir,glibc
libxdmcp,glibc
libxdmcp,xorgproto
libxdp,libelf
libxdp,linux-api-headers
libxdp,libbpf
libxext,libx11
libxext,glibc
libxext,xorgproto
libxfce4ui,libxfce4util
libxfce4ui,gtk3
libxfce4ui,xfconf
libxfce4ui,libsm
libxfce4ui,startup-notification
libxfce4ui,libgtop
libxfce4ui,libepoxy
libxfce4ui,hicolor-icon-theme
libxfce4util,glib2
libxfce4windowing,gdk-pixbuf2
libxfce4windowing,glib2
libxfce4windowing,gtk3
libxfce4windowing,libwnck3
libxfce4windowing,libx11
libxfce4windowing,wayland
libxfixes,libx11
libxfixes,xorgproto
libxfixes,glibc
libxfont2,freetype2
libxfont2,libfontenc
libxfont2,xorgproto
libxfont2,zlib
libxfont2,glibc
libxft,fontconfig
libxft,libxrender
libxft,libx11
libxft,freetype2
libxft,glibc
libxft,xorgproto
libxi,libxext
libxi,libxfixes
libxi,libx11
libxi,glibc
libxi,xorgproto
libxinerama,libxext
libxinerama,libx11
libxinerama,glibc
libxinerama,xorgproto
libxisf,gcc-libs
libxisf,glibc
libxisf,lz4
libxisf,pugixml
libxisf,zlib
libxisf,zstd
libxkbcommon,glibc
libxkbcommon,libxml2
libxkbcommon,xkeyboard-config
libxkbcommon-x11,glibc
libxkbcommon-x11,libxcb
libxkbcommon-x11,libxkbcommon
libxkbcommon-x11,libxkbcommon.so
libxkbfile,libx11
libxkbfile,xorgproto
libxkbfile,glibc
libxklavier,glib2
libxklavier,glibc
libxklavier,iso-codes
libxklavier,libx11
libxklavier,libxi
libxklavier,libxkbfile
libxklavier,libxml2
libxklavier,xkeyboard-config
libxklavier,xorg-xkbcomp
libxml++,glibmm
libxml++,libxml2
libxml++-5.0,gcc-libs
libxml++-5.0,glibc
libxml++-5.0,libxml2
libxml++2.6,libxml2
libxml++2.6,glibmm
libxml-perl,perl-xml-parser
libxmlb,glib2
libxmlb,libstemmer
libxmlb,xz
libxmlb,zstd
libxmlbird,glib2
libxmlrpc,curl
libxmu,libxext
libxmu,libxt
libxmu,libx11
libxmu,xorgproto
libxmu,glibc
libxnvctrl,libxext
libxp,libxext
libxp,libx11
libxp,libxau
libxp,glibc
libxp,xorgproto
libxpm,libxt
libxpm,libxext
libxpm,libx11
libxpm,glibc
libxpresent,libxfixes
libxpresent,libxrandr
libxpresent,libxext
libxpresent,libx11
libxpresent,glibc
libxpresent,xorgproto
libxrandr,libxext
libxrandr,libxrender
libxrandr,libx11
libxrandr,glibc
libxrender,libx11
libxrender,glibc
libxrender,xorgproto
libxres,libxext
libxres,libx11
libxres,glibc
libxres,xorgproto
libxsd-frontend,gcc-libs
libxsd-frontend,glibc
libxsd-frontend,libcutl
libxsd-frontend,xerces-c
libxshmfence,glibc
libxslt,bash
libxslt,glibc
libxslt,libgcrypt
libxslt,libxml2
libxslt,xz
libxss,libxext
libxss,libx11
libxss,glibc
libxss,xorgproto
libxt,libsm
libxt,libx11
libxt,libice
libxt,glibc
libxt,xorgproto
libxtst,libxext
libxtst,libxi
libxtst,libx11
libxtst,glibc
libxtst,xorgproto
libxv,libxext
libxv,libx11
libxv,glibc
libxv,xorgproto
libxvmc,libxext
libxvmc,libxv
libxvmc,libx11
libxvmc,xorgproto
libxvmc,glibc
libxxf86vm,libxext
libxxf86vm,libx11
libxxf86vm,glibc
libxxf86vm,xorgproto
libyaml,glibc
libytnef,glibc
libyuv,gcc-libs
libyuv,libjpeg-turbo
libzdb,postgresql-libs
libzdb,sqlite
libzdb,mariadb-libs
libzen,glibc
libzen,gcc-libs
libzim,xapian-core
libzim,xz
libzim,icu
libzim,zstd
libzip,zlib
libzip,bzip2
libzip,zstd
libzip,openssl
libzip,gnutls
libzmf,librevenge
libzmf,libpng
libzmf,zlib
libzmf,icu
libzmf,gcc-libs
libzmf,glibc
lidia,gcc-libs
lidia,glibc
lidia,gmp
lifeograph,enchant
lifeograph,gtkmm3
lifeograph,libchamplain
liferea,webkit2gtk
liferea,libpeas
liferea,python-gobject
light-locker,cairo
light-locker,dbus-glib
light-locker,glibc
light-locker,libdbus-1.so
light-locker,libgdk-3.so
light-locker,libgio-2.0.so
light-locker,libglib-2.0.so
light-locker,libgobject-2.0.so
light-locker,libgtk-3.so
light-locker,libpango-1.0.so
light-locker,libpangocairo-1.0.so
light-locker,libsystemd.so
light-locker,libx11
light-locker,libxext
light-locker,libxss
lightdm,glib2
lightdm,libgcrypt
lightdm,libx11
lightdm,libxcb
lightdm,libxdmcp
lightdm,libxklavier
lightdm,pam
lightdm,polkit
lightdm,xorg-server
lightdm,xorg-xmodmap
lightdm,xorg-xrdb
lightdm-gtk-greeter,gtk3
lightdm-gtk-greeter,lightdm
lightdm-gtk-greeter-settings,bash
lightdm-gtk-greeter-settings,gdk-pixbuf2
lightdm-gtk-greeter-settings,glib2
lightdm-gtk-greeter-settings,gtk-update-icon-cache
lightdm-gtk-greeter-settings,gtk3
lightdm-gtk-greeter-settings,lightdm-gtk-greeter
lightdm-gtk-greeter-settings,pango
lightdm-gtk-greeter-settings,python
lightdm-gtk-greeter-settings,python-gobject
lightdm-pantheon-greeter,accountsservice
lightdm-pantheon-greeter,cairo
lightdm-pantheon-greeter,gdk-pixbuf2
lightdm-pantheon-greeter,glibc
lightdm-pantheon-greeter,libgdk-3.so
lightdm-pantheon-greeter,libgee
lightdm-pantheon-greeter,libgio-2.0.so
lightdm-pantheon-greeter,libglib-2.0.so
lightdm-pantheon-greeter,libgl
lightdm-pantheon-greeter,libgobject-2.0.so
lightdm-pantheon-greeter,libgranite.so
lightdm-pantheon-greeter,libgtk-3.so
lightdm-pantheon-greeter,libhandy-1.so
lightdm-pantheon-greeter,lightdm
lightdm-pantheon-greeter,mutter46
lightdm-slick-greeter,cairo
lightdm-slick-greeter,freetype2
lightdm-slick-greeter,gtk3
lightdm-slick-greeter,libcanberra
lightdm-slick-greeter,libxext
lightdm-slick-greeter,lightdm
lightdm-slick-greeter,pixman
lightdm-slick-greeter,python
lightdm-slick-greeter,xorg-server
lightdm-slick-greeter,xapp
lightdm-webkit-theme-litarvan,lightdm-webkit2-greeter
lightdm-webkit2-greeter,lightdm
lightdm-webkit2-greeter,webkit2gtk
lightdm-webkit2-greeter,accountsservice
lightdm-webkit2-greeter,gnome-backgrounds
lightsoff,dconf
lightsoff,glib2
lightsoff,glibc
lightsoff,gtk3
lightsoff,hicolor-icon-theme
lightsoff,librsvg
lighttpd,pcre2
lilv,glibc
lilv,serd
lilv,libserd-0.so
lilv,sord
lilv,libsord-0.so
lilv,sratom
