pkg,licenses
python-overrides,Apache-2.0
python-ovirt-engine-sdk,custom
python-owslib,BSD
python-oyaml,MIT
python-packaging,Apache-2.0
python-paho-mqtt,custom
python-pallets-sphinx-themes,BSD
python-pam,MIT
python-pandas,BSD
python-pandas-datareader,BSD
python-pandocfilters,BSD
python-papermill,BSD-3-Clause
python-param,BSD
python-parameterized,BSD
python-paramiko,LGPL
python-parse,BSD
python-parse-type,MIT
python-parsedatetime,Apache-2.0
python-parsel,BSD-3-Clause
python-parso,MIT
python-partd,BSD
python-parver,MIT
python-passlib,custom:BSD
python-pasta,Apache
python-paste,MIT
python-pastedeploy,MIT
python-pastel,MIT
python-patchwork,BSD
python-path,MIT
python-pathable,Apache
python-pathspec,MPL2
python-patiencediff,GPL2
python-patsy,BSD
python-pbkdf2,MIT
python-pbr,Apache-2.0
python-pbs-installer,MIT
python-pcapy,Apache
python-pcbnewtransition,MIT
python-pdfminer,MIT
python-pdfrw,MIT
python-pdftotext,MIT
python-pdm,MIT
python-pdm-backend,MIT
python-pdm-build-locked,MIT
python-pecan,BSD
python-peewee,MIT
python-pefile,MIT
python-pem,MIT
python-pendulum,MIT
python-pep440,MIT
python-perf,MIT
python-persistent,ZPL-2.1
python-pew,MIT
python-pexpect,MIT
python-pgpy,BSD-3-Clause
python-pgspecial,BSD-3-Clause
python-phitigra,MIT
python-phonenumbers,Apache-2.0
python-phpserialize,BSD-3-Clause
python-pickleshare,MIT
python-piexif,MIT
python-pika,BSD-3-Clause
python-pikepdf,MPL-2.0
python-pilkit,BSD-3-Clause
python-pillow,MIT-CMU
python-pillow-heif,BSD-3-Clause
python-pillow-heif-docs,BSD-3-Clause
python-pillowfight,GPL-2.0-only
python-pint,BSD-3-Clause
python-pip,MIT
python-pipenv,MIT
python-pipenv-to-requirements,MIT
python-pipx,MIT
python-pipx,BSD
python-pivy,ISC
python-pixelmatch,ISC
python-pkgconfig,MIT
python-pkginfo,MIT
python-platformdirs,MIT
python-playwright,Apache-2.0
python-plette,ISC
python-plop,MIT
python-plotly,MIT
python-pluggy,MIT
python-plumbum,MIT
python-ply,BSD
python-plyvel,BSD
python-podcastparser,ISC
python-poetry,MIT
python-poetry-core,MIT
python-poetry-dynamic-versioning,MIT
python-poetry-plugin-export,MIT
python-poetry-plugin-up,MIT
python-polib,MIT
python-pooch,LicenseRef-pooch
python-pook,MIT
python-poppler-qt5,LGPL
python-portend,MIT
python-potr,LGPL
python-pplpy,GPL-3.0-or-later
python-pprofile,GPL-2.0-or-later
python-prance,MITNFA
python-praw,BSD-2-Clause
python-prawcore,BSD
python-prctl,GPL
python-precis_i18n,MIT
python-prefixed,MPL2
python-pretend,BSD-3-Clause
python-prettytable,BSD
python-primecountpy,GPL3
python-priority,MIT
python-process-tests,BSD
python-profilestats,LicenseRef-Unknown-BSD
python-progressbar,BSD-3-Clause
python-prometheus_client,APACHE
python-promise,MIT
python-prompt_toolkit,BSD
python-protego,BSD-3-Clause
python-protobuf,BSD-3-Clause
python-proxmoxer,MIT
python-proxy.py,BSD-3-Clause
python-proxy_tools,BSD-2-Clause
python-psutil,BSD-3-Clause
python-psycopg,LGPL-3.0-only
python-psycopg-pool,LGPL-3.0-only
python-psycopg2,LGPL-3.0-or-later
python-pt,MIT
python-ptrace,GPL-2.0-only
python-ptyprocess,ISC
python-publicsuffix2,MIT
python-publicsuffix2,MPL-2.0
python-pudb,MIT
python-pure-eval,MIT
python-pure-sasl,MIT
python-puremagic,MIT
python-purl,MIT
python-pwntools,BSD-2-Clause AND GPL-2.0-or-later AND GPL-3.0-or-later AND MIT
python-py,MIT
python-py-cpuinfo,MIT
python-py-partiql-parser,MIT AND Apache-2.0
python-py3c,MIT
python-py7zr,LGPL
python-py_stringmatching,BSD
python-pyacoustid,MIT
python-pyadi-iio,custom
python-pyaes,MIT
python-pyahocorasick,BSD-3-Clause
python-pyalsa,LGPL-2.1-or-later
python-pyaml,WTFPL
python-pyarrow,Apache-2.0
python-pyasn,MIT
python-pyasn,BSD
python-pyasn1,BSD-2-Clause
python-pyasn1-modules,BSD-2-Clause
python-pyasynchat,PSF-2.0
python-pyasyncore,PSF-2.0
python-pyaudio,MIT
python-pyaxmlparser,Apache
python-pybars3,MIT
python-pybcj,LGPL
python-pybluez,GPL2
python-pybox2d,custom
python-pybtex,GPL
python-pybtex-docutils,MIT
python-pybullet,custom:zlib
python-pycapnp,BSD-2-Clause
python-pycares,MIT
python-pycdio,GPL-3.0-or-later
python-pychm,GPL
python-pyclibrary,MIT
python-pyclipper,MIT
python-pycodestyle,custom:Expat
python-pycosat,MIT
python-pycountry,LGPL-2.1-or-later
python-pycparser,BSD
python-pycrdt,MIT
python-pycrdt-websocket,MIT
python-pycryptodome,BSD
python-pycryptodomex,BSD
python-pyct,BSD
python-pycuda,Apache-2.0
python-pycuda,MIT
python-pycups,GPL-2.0-or-later
python-pycurl,LGPL-2.1-only OR MIT
python-pydantic,MIT
python-pydantic-core,MIT
python-pydantic-extra-types,MIT
python-pydantic-settings,MIT
python-pydbus,LGPL
python-pydicom,MIT
python-pydispatcher,BSD
python-pydle,BSD
python-pydocstyle,MIT
python-pydoe2,BSD
python-pydot,MIT
python-pydrive2,Apache-2.0
python-pydyf,BSD
python-pyee,MIT
python-pyelftools,custom:Public Domain
python-pyenchant,LGPL
python-pyerfa,BSD
python-pyface,BSD
python-pyfakefs,APACHE
python-pyfiglet,GPL
python-pyflakes,MIT
python-pyftpdlib,MIT
python-pyfuse3,LGPL-2.0-or-later
python-pygal,LGPL-3.0-or-later
python-pygaljs,LGPL
python-pygame,LGPL
python-pygccxml,BSL-1.0
python-pygdbmi,MIT
python-pygit2,LicenseRef-GPL-2.0-only-with-linking-exception
python-pygithub,LGPL
python-pygls,Apache-2.0
python-pygments,BSD-2-Clause
python-pygraphviz,BSD-3-Clause
python-pyhamcrest,BSD-2-Clause
python-pyhcl,MPL2
python-pyicu,MIT
python-pyinotify,custom:MIT
python-pyjsparser,MIT
python-pyjwt,MIT
python-pykcs11,GPL-2.0-or-later
python-pykeepass,GPL-3.0-only
python-pykerberos,Apache
python-pykka,Apache-2.0
python-pylast,Apache
python-pylatexenc,MIT
python-pylev,BSD
python-pylibacl,LGPL
python-pylibiio,GPL-2.0-or-later
python-pylibiio,LGPL-2.1-or-later
python-pyliblo,LGPL-2.1-or-later
python-pylibmc,GPL
python-pylint,GPL-2.0-only
python-pylint-plugin-utils,MIT
python-pylint-pydantic,MIT
python-pylint-venv,MIT
python-pylons-sphinx-themes,BSD
python-pylorcon2,GPL
python-pyls-spyder,MIT
python-pylsqpack,BSD-3-Clause
python-pymacaroons,MIT
python-pymad,LGPL-2.0-only
python-pymdown-extensions,MIT
python-pymediainfo,MIT
python-pymeta3,MIT
python-pymongo,Apache-2.0
python-pymupdf,AGPL-3.0-or-later
python-pymysql,MIT
python-pynacl,Apache-2.0
python-pynamodb,MIT
python-pynetbox,Apache-2.0
python-pynitrokey,Apache-2.0 OR MIT
python-pynormaliz,GPL-2.0-or-later
python-pynvim,Apache
python-pyocr,GPL-3.0-or-later
python-pyogrio,MIT
python-pyopencl,Apache-2.0
python-pyopencl,BSD-3-Clause
python-pyopencl,MIT
python-pyopencl,MIT
python-pyopenssl,Apache-2.0
python-pyotherside,ISC
python-pyotp,MIT
python-pypandoc,MIT
python-pyparsing,MIT
python-pyparted,GPL-2.0-or-later
python-pypatchelf,GPL3
python-pypcode,custom
python-pypdf,BSD-3-Clause
python-pypeg2,GPL2
python-pyperclip,BSD-3-Clause
python-pyperformance,MIT
python-pyphen,GPL-2.0-or-later
python-pyphen,LGPL-2.1-or-later
python-pyphen,MPL-1.1
python-pypng,MIT
python-pyppmd,LGPL
python-pypresence,MIT
python-pyproj,custom
python-pyproject-api,MIT
python-pyproject-hooks,MIT
python-pyproject-metadata,MIT
python-pyproject-parser,MIT
python-pypubsub,BSD-2-Clause
python-pypugjs,MIT
python-pyqrcode,BSD
python-pyqt5,GPL
python-pyqt5-sip,GPL
python-pyqt5-webengine,GPL
python-pyqt6,GPL
python-pyqt6-3d,GPL3
python-pyqt6-charts,GPL3
python-pyqt6-datavisualization,GPL3
python-pyqt6-networkauth,GPL3
python-pyqt6-sip,BSD-2-Clause
python-pyqt6-webengine,GPL3
python-pyqtgraph,MIT
python-pyquery,BSD
python-pyrate-limiter,MIT
python-pyrfc3339,MIT
python-pyro,MIT
python-pyroute2,GPL-2.0-or-later OR Apache-2.0
python-pyrss2gen,BSD-3-Clause
python-pysaml2,Apache-2.0
python-pyscard,LGPL
python-pyscipopt,MIT
python-pyscreenshot,BSD
python-pysequoia,Apache-2.0
python-pyserial,custom:PYTHON
python-pysmbc,GPL
python-pysmf,custom:BSD
python-pysmi,BSD
python-pysmt,Apache-2.0
python-pysnmp,BSD
python-pysocks,BSD
python-pysol_cards,MIT
python-pysolr,BSD-3-Clause
python-pyspellchecker,MIT
python-pyspnego,MIT
python-pystache,MIT
python-pystemmer,BSD
python-pystemmer,MIT
python-pystray,GPL-3.0-only
python-pystray,LGPL-3.0-only
python-pyswip,MIT
python-pytables,BSD-3-Clause
python-pyte,LGPL3
python-pytesseract,Apache
python-pytest,MIT
python-pytest-aiohttp,Apache-2.0
python-pytest-asyncio,Apache-2.0
python-pytest-bdd,MIT
python-pytest-benchmark,BSD-2-Clause
python-pytest-celery,BSD
python-pytest-click,MIT
python-pytest-console-scripts,MIT
python-pytest-container,LGPL
python-pytest-cov,MIT
python-pytest-datadir,MIT
python-pytest-datafiles,MIT
python-pytest-datafixtures,BSD-3-Clause
python-pytest-dependency,Apache
python-pytest-django,BSD
python-pytest-enabler,MIT
python-pytest-env,MIT
python-pytest-examples,MIT
python-pytest-expect,MIT
python-pytest-forked,MIT
python-pytest-freezer,MIT
python-pytest-helpers-namespace,Apache-2.0
python-pytest-home,MIT
python-pytest-httpbin,MIT
python-pytest-httpserver,MIT
python-pytest-httpx,MIT
python-pytest-ignore-flaky,MIT
python-pytest-integration,MIT
python-pytest-isort,BSD
python-pytest-jupyter,BSD-3-Clause
python-pytest-lazy-fixture,MIT
python-pytest-lazy-fixtures,MIT
python-pytest-localserver,MIT
python-pytest-lsp,MIT
python-pytest-mock,LGPL3
python-pytest-mpi,BSD
python-pytest-mpl,BSD
python-pytest-mypy,MIT
python-pytest-mypy-testing,Apache
python-pytest-mypy-testing,MIT
python-pytest-order,MIT
python-pytest-ordering,MIT
python-pytest-pacman,MIT
python-pytest-param-files,MIT
python-pytest-playwright,Apache-2.0
python-pytest-pretty,MIT
python-pytest-qt,MIT
python-pytest-raises,MIT
python-pytest-randomly,MIT
python-pytest-regressions,MIT
python-pytest-relaxed,BSD
python-pytest-repeat,MPL
python-pytest-rerunfailures,MPL-2.0
python-pytest-responsemock,BSD-3-Clause
python-pytest-ruff,MIT
python-pytest-services,MIT
python-pytest-shell-utilities,Apache-2.0
python-pytest-skip-markers,Apache-2.0
python-pytest-snapshot,MIT
python-pytest-socket,MIT
python-pytest-subtesthack,custom
python-pytest-subtests,MIT
python-pytest-sugar,BSD-3-Clause
python-pytest-tap,BSD
python-pytest-testinfra,Apache-2.0
python-pytest-timeout,MIT
python-pytest-tornado,Apache
python-pytest-tornasync,MIT
python-pytest-trio,Apache-2.0 OR MIT
python-pytest-twisted,BSD
python-pytest-vcr,MIT
python-pytest-xdist,MIT
python-pytest-xprocess,MIT
python-pythia8,GPL2
python-python-multipart,Apache-2.0
python-python-pkcs11,MIT
python-python-socks,APACHE
python-pythran,BSD-3-Clause
python-pytimeparse,MIT
python-pytoolconfig,LGPL-3.0-or-later
python-pytools,MIT
python-pytorch,BSD
python-pytorch-cuda,BSD
python-pytorch-opt,BSD
python-pytorch-opt-cuda,BSD
python-pytorch-opt-rocm,BSD
python-pytorch-rocm,BSD
python-pytrie,BSD
python-pytube,Unlicense
python-pytz,MIT
python-pytzdata,MIT
python-pyu2f,Apache-2.0
python-pyuca,MIT
python-pyudev,LGPL
python-pyusb,custom
python-pyvex,BSD
python-pyvirtualdisplay,BSD
python-pywal,MIT
python-pywayland,Apache-2.0
python-pywebview,BSD-3-Clause
python-pywinrm,MIT
python-pywlroots,NCSA
python-pyx,GPL
python-pyxattr,GPL
python-pyxbe,custom:MIT
python-pyxdameraulevenshtein,BSD
python-pyxdg,LGPL
python-pyyaml-env-tag,MIT
python-pyzmq,LGPL
python-pyzstd,BSD-3-Clause
python-qasync,BSD
python-qdarkstyle,MIT
python-qdarkstyle,CCPL
python-qdldl,Apache-2.0
python-qiniu,MIT
python-qpageview,GPL3
python-qrcode,BSD
python-qrencode,MIT
python-qscintilla-qt5,GPL
python-qscintilla-qt6,GPL
python-qstylizer,MIT
python-qt-material,BSD
python-qt-material,Apache
python-qt.py,MIT
python-qtawesome,MIT
python-qtconsole,BSD
python-qtpy,MIT
python-quart,MIT
python-quart-cors,MIT
python-queuelib,BSD-3-Clause
python-r2pipe,MIT
python-railroad-diagrams,MIT
python-random2,PSF
python-rangehttpserver,Apache-2.0
python-rapidfuzz,MIT
python-rapidjson,MIT
python-rarfile,ISC
python-ratelim,MIT
python-rawkit,MIT
python-rcssmin,Apache-2.0
python-rdflib,BSD-3-Clause
python-re-assert,MIT
python-reactivex,APACHE
python-readability-lxml,Apache-2.0
python-readme-renderer,Apache
python-rebulk,MIT
python-recurring-ical-events,LGPL-3.0-or-later
python-redis,MIT
python-reedsolo,MIT
python-referencing,MIT
python-reflink,MIT
python-regex,Python
python-regex,Apache
python-regress,MIT
python-remoto,MIT
python-rencode,GPL
python-reportlab,BSD
python-repoze.lru,custom:BSD
python-requests,Apache-2.0
python-requests-aws4auth,MIT
python-requests-credssp,ISC
python-requests-file,Apache
python-requests-futures,Apache
python-requests-gssapi,custom:ISC
python-requests-kerberos,Apache
python-requests-mock,Apache
python-requests-ntlm,custom:ISC License (ISCL)
python-requests-oauthlib,custom:ISC
python-requests-toolbelt,Apache
python-requests-unixsocket,Apache
python-requests-wsgi-adapter,BSD-3-Clause
python-requestsexceptions,Apache
python-resampy,ISC
python-resolvelib,ISC
python-responses,Apache
python-respx,BSD-3-Clause
python-resumable-urlretrieve,MIT
python-retrying,Apache-2.0
python-rfc3339-validator,MIT
python-rfc3986,Apache
python-rfc3986-validator,MIT
python-rfc3987,GPL
python-rfc6555,Apache
python-rich,MIT
python-rjsmin,Apache-2.0
python-robot-detection,GPL-3.0-or-later
python-rope,LGPL-3.0-or-later
python-routes,custom:BSD
python-rpds-py,MIT
python-rpy2,MPL
python-rpy2,GPL
python-rpy2,LGPL
python-rpyc,MIT
python-rsa,BSD
python-rstcheck-core,MIT
python-rstr,BSD
python-rtmidi,MIT
python-rtree,MIT
python-ruamel-yaml,MIT
python-ruamel.yaml.clib,MIT
python-ruff,MIT
python-ruff-api,MIT
python-rx,MIT
python-rzpipe,MIT
python-s3transfer,Apache
python-saml,MIT
python-sane,MIT
python-sanic,MIT
python-sanic-routing,MIT
python-sanic-testing,MIT
python-sarif-om,MIT
python-scapy,GPL2
python-schema,MIT
python-schemdraw,BSD
python-scikit-build,MIT
python-scikit-build-core,Apache-2.0
python-scikit-hep-testdata,BSD
python-scikit-learn,BSD-3-Clause
python-scipy,BSD-3-Clause
python-scripttest,MIT
python-scrypt,BSD-2-Clause
python-scs,MIT
python-seaborn,BSD
python-secretstorage,BSD-3-Clause
python-securesystemslib,MIT
python-seedir,MIT
python-selinux,MIT
python-semantic-version,BSD
python-semver,BSD
python-send2trash,BSD
python-sentinels,BSD-3-Clause
python-sentry_sdk,MIT
python-serpent,MIT
python-service-identity,MIT
python-setproctitle,BSD
python-setuptools,MIT
python-setuptools-declarative-requirements,Apache-2.0
python-setuptools-gettext,GPL2
python-setuptools-git,BSD
python-setuptools-rust,MIT
python-setuptools-scm,MIT
python-sgmllib3k,BSD
python-sh,MIT
python-shapely,BSD
python-shellingham,ISC
python-shippinglabel,MIT
python-shodan,MIT
python-should-dsl,MIT
python-show-in-file-manager,MIT
python-shtab,Apache-2.0
python-signedjson,Apache
python-simple-term-menu,MIT
python-simplejson,MIT
python-simplemediawiki,LGPL
python-simplesat,MIT
python-simplesoapy,MIT
python-simplespectral,MIT
python-six,MIT
python-slip,GPL2
python-slugify,MIT
python-smartypants,BSD-2-Clause
python-smbprotocol,MIT
python-smmap,BSD-3-Clause
python-snappy,BSD-3-Clause
python-sniffio,MIT
python-snowballstemmer,BSD
python-snowboy,Apache
python-socketio,MIT
python-socksio,BSD
python-softlayer,MIT
python-solidpython,LGPL2.1
python-sortedcollections,Apache
python-sortedcontainers,Apache-2.0
python-sounddevice,MIT
python-soundfile,BSD-3-Clause
python-soupsieve,MIT
python-soxr,LGPL-2.1-or-later
python-spake2,MIT
python-speaklater,BSD
python-speg,MIT
python-sphinx,BSD-2-Clause
python-sphinx-alabaster-theme,BSD-3-Clause
python-sphinx-argparse,MIT
python-sphinx-argparse-cli,MIT
python-sphinx-autoapi,MIT
python-sphinx-autobuild,BSD
python-sphinx-autodoc-typehints,MIT
python-sphinx-autorun,BSD
python-sphinx-basic-ng,MIT
python-sphinx-bootstrap-theme,MIT
python-sphinx-click,MIT
python-sphinx-copybutton,MIT
python-sphinx-external-toc,MIT
python-sphinx-furo,MIT
python-sphinx-hawkmoth,BSD-2-Clause
python-sphinx-inline-tabs,MIT
python-sphinx-issues,MIT
python-sphinx-jinja,MIT
python-sphinx-lv2-theme,0BSD
python-sphinx-prompt,BSD-3-Clause
python-sphinx-pytest,MIT
python-sphinx-reredirects,BSD
python-sphinx-sitemap,MIT
python-sphinx-tabs,MIT
python-sphinx-theme-builder,MIT
python-sphinx_rtd_theme,MIT
python-sphinxcontrib-apidoc,BSD
python-sphinxcontrib-applehelp,BSD-2-Clause
python-sphinxcontrib-autoprogram,BSD-2-Clause
python-sphinxcontrib-bibtex,BSD
python-sphinxcontrib-devhelp,BSD-2-Clause
python-sphinxcontrib-fulltoc,Apache
python-sphinxcontrib-htmlhelp,BSD-2-Clause
python-sphinxcontrib-jquery,0BSD
python-sphinxcontrib-jsmath,BSD
python-sphinxcontrib-log-cabinet,BSD
python-sphinxcontrib-newsfeed,BSD
python-sphinxcontrib-programoutput,BSD-3-Clause
python-sphinxcontrib-qthelp,BSD-2-Clause
python-sphinxcontrib-serializinghtml,BSD-2-Clause
python-sphinxcontrib-spelling,BSD
python-sphinxcontrib-towncrier,BSD
python-sphinxcontrib-trio,MIT
python-sphinxext-opengraph,BSD
python-sphinxygen,0BSD or ISC
python-sphobjinv,MIT
python-spinners,MIT
python-spur,BSD
python-spyder-kernels,MIT
python-sqlalchemy,MIT
python-sqlalchemy-continuum,BSD
python-sqlalchemy-i18n,BSD
python-sqlalchemy-utils,BSD
python-sqlalchemy1.4,MIT
python-sqlite-anyio,MIT
python-sqlitedict,Apache
python-sqlmodel,MIT
python-sqlparse,BSD
python-srcinfo,ISC
python-srt,MIT
python-srt_equalizer,MIT
python-sshpubkeys,BSD
python-sshtunnel,MIT
python-stack-data,MIT
python-starlette,BSD-3-Clause
python-statsmodels,BSD-3-Clause
python-stdlibs,MIT
python-stem,LGPL-3.0-only
python-stestr,Apache
python-stevedore,Apache
python-stone,MIT
python-stopit,GPL3
python-strict-rfc3339,GPL-3.0-or-later
python-strictyaml,MIT
python-structlog,MIT OR Apache-2.0
python-subprocess-tee,MIT
python-subunit,Apache
python-suds,LGPL
python-superqt,BSD-3-Clause
python-sure,GPL
python-svglib,LGPL-3.0-only
python-svgwrite,MIT
python-swiftclient,Apache
python-sword,GPL
python-sybil,MIT
python-symengine,MIT
python-sympy,BSD
python-syrupy,Apache-2.0
python-systemd,LGPL-2.1-or-later
python-tabulate,MIT
python-tabview,MIT
python-tailer,MIT
python-tappy,BSD
python-tarantool,BSD
python-tasklib,BSD
python-tblib,BSD-2-Clause
python-teamcity-messages,Apache
python-tempora,MIT
python-tenacity,Apache-2.0
python-tensorboard_plugin_wit,Apache
python-tensorflow,APACHE
python-tensorflow-cuda,APACHE
python-tensorflow-estimator,APACHE
python-tensorflow-opt,APACHE
python-tensorflow-opt-cuda,APACHE
python-tensorflow-serving-api,Apache
python-tensorflow-serving-api-gpu,Apache
python-termcolor,MIT
python-terminado,BSD
python-termstyle,BSD
python-testfixtures,MIT
python-testpath,MIT
python-testrepository,Apache-2.0 OR BSD-3-Clause
python-testresources,Apache
python-testresources,BSD
python-testscenarios,Apache
python-testtools,MIT
python-text-unidecode,Artistic-1.0-Perl
python-textdistance,MIT
python-texttable,LGPL
python-textual,MIT
python-tftpy,MIT
python-threadloop,MIT
python-threadpoolctl,BSD
python-threat9-test-bed,custom
python-three-merge,MIT
python-thrift,Apache
python-tiktoken,MIT
python-time-machine,MIT
python-tiny-proxy,Apache
python-tinycss2,BSD-3-Clause
python-tld,MPL
python-tld,GPL
python-tld,LGPL
python-tldextract,BSD-3-Clause
python-tlsh,Apache-2.0
python-tlv8,Apache-2.0
python-tokenize-rt,MIT
python-toml,MIT
python-tomli,MIT
python-tomli-w,MIT
python-tomlkit,MIT
python-toolz,BSD-3-Clause
python-toposort,Apache
python-torchvision,BSD-3-Clause
python-torchvision-cuda,BSD-3-Clause
python-tornado,Apache-2.0
python-torrentool,BSD-3-Clause
python-tox,GPL2
python-tox-current-env,MIT
python-tpm2-pytss,BSD-2-Clause
python-tqdm,MIT
python-tqdm,MPL-2.0
python-tracerite,MIT
python-trailrunner,MIT
python-traitlets,BSD-3-Clause
python-traits,BSD
python-traitsui,BSD
python-transaction,ZPL
python-treelib,Apache2
python-treq,MIT
python-trio,MIT
python-trio-asyncio,Apache-2.0 OR MIT
python-trio-websocket,MIT
python-trove-classifiers,Apache-2.0
python-trustme,MIT
python-truststore,MIT
python-tubes,MIT
python-tweepy,MIT
python-twisted,MIT
python-txaio,MIT
python-txredisapi,Apache
python-txrequests,Apache
python-txtorcon,MIT
python-typeguard,MIT
python-typer,MIT
python-types-python-dateutil,Apache-2.0
python-typing_extensions,Python-2.0.1
python-typing_inspect,MIT
python-typogrify,BSD
python-tzdata,Apache-2.0
python-tzlocal,MIT
python-u-msgpack,MIT
python-ubjson,Apache-2.0
python-ubjson,MIT
python-ubjson,PSF-2.0
python-uc-micro-py,MIT
python-ufolib2,Apache-2.0
python-ufoprocessor,MIT
python-uhi,MIT
python-ujson,BSD
python-ukkonen,MIT
python-ukpostcodeparser,MIT
python-ulid,MIT
python-ulid-transform,MIT
python-uncertainties,BSD
python-unearth,MIT
python-unicodedata2,Apache
python-unicorn,GPL-2.0-only
python-unidecode,GPL
python-unidiff,MIT
python-unittest-mixins,Apache-2.0
python-unpaddedbase64,Apache
python-unrardll,BSD
python-update-checker,BSD
python-uproot,BSD-3-Clause
python-uproot-docs,BSD-3-Clause
python-uri-template,MIT
python-uritemplate,Apache
python-uritemplate,BSD
python-urllib3,MIT
python-urwid,LGPL-2.1-only
python-urwidtrees,GPL3
python-userpath,MIT
python-utils,BSD-3-Clause
python-uv,MIT
python-uv,Apache-2.0
python-uvloop,APACHE
python-uvloop,MIT
python-vagrant,MIT
python-validate-email,LGPL
python-validate-pyproject,MPL
python-validators,MIT
python-vcrpy,MIT
python-vcversioner,ISC
python-vector,MIT
python-versioneer,custom:Unlicense
python-versioningit,MIT
python-vigra,MIT
python-vine,BSD-3-Clause
python-virtualenv,MIT
python-virtualenv-clone,GPL
python-virtualenvwrapper,MIT
python-visitor,MIT
python-vistir,ISC
python-vobject,Apache-2.0
python-voila,BSD-3-Clause
python-volatile,MIT
python-volume_key,GPL2
python-voluptuous,BSD
python-voluptuous-serialize,APACHE
python-vosk,Apache-2.0
python-w3lib,BSD
python-waitress,ZPL-2.1
python-wand,MIT
python-warlock,Apache
python-watchdog,Apache
python-watchfiles,MIT
python-watchgod,MIT
python-wcag-contrast-ratio,MIT
python-wcmatch,MIT
python-wcwidth,MIT
python-weasyprint,BSD-3-Clause
python-webcolors,BSD-3
python-webencodings,BSD
python-webob,MIT
python-webob-docs,MIT
python-webrtcvad,MIT
python-websocket-client,LGPL
python-websockets,BSD
python-webtest,MIT
python-werkzeug,custom:BSD
python-whatthepatch,MIT
python-wheel,MIT
python-wheezy-template,MIT
python-whelk,custom:zlib
python-whey,MIT
python-whitenoise,MIT
python-whoosh,BSD-2-Clause
python-wikipedia,MIT
python-wiktionaryparser,MIT
python-wilderness,MIT
python-witwidget,Apache
python-wrapt,BSD-2-Clause
python-wsaccel,Apache
python-wsgiproxy2,MIT
python-wsproto,MIT
python-wtforms,BSD
python-wurlitzer,MIT
python-wxpython,custom:wxWindows
python-x-wr-timezone,LGPL-3.0-or-later
python-xapian,GPL-2.0-or-later
python-xapian-haystack,GPL-2.0-only
python-xapp,LGPL
python-xarray,Apache
python-xattr,MIT
python-xcffib,Apache
python-xkbcommon,MIT
python-xlib,LGPL
python-xlrd,BSD
python-xlsxwriter,BSD
python-xlwt,BSD
python-xmljson,MIT
python-xmlschema,MIT
python-xmlsec,MIT
python-xmltodict,MIT
python-xtarfile,Apache
python-xxhash,BSD
python-y-py,MIT
python-yaml,MIT
python-yara,Apache
python-yarl,Apache-2.0
python-yaspin,MIT
python-ypy-websocket,MIT
python-ytmusicapi,MIT
python-yubico,BSD-2-Clause
python-z3-solver,MIT
python-zabbix-api,LGPL-2.1-only
python-zc.lockfile,custom:ZPL
python-zeep,MIT
python-zeroconf,LGPL-2.1-or-later
python-ziafont,MIT
python-ziamath,MIT
python-zict,BSD
python-zipfile-deflate64,Apache
python-zipp,MIT
python-zipstream-ng,LGPL-3.0-only
python-zita-audiotools,GPL-2.0-or-later
python-zita-audiotools,GPL-3.0-or-later
python-zita-jacktools,GPL-3.0-or-later
python-zodbpickle,PSF-2.0 AND ZPL-2.1
python-zope-annotation,ZPL-2.1
python-zope-component,ZPL-2.1
python-zope-configuration,ZPL-2.1
python-zope-copy,ZPL-2.1
python-zope-deferredimport,ZPL-2.1
python-zope-deprecation,ZPL
python-zope-event,ZPL
python-zope-exceptions,ZPL-2.1
python-zope-hookable,ZPL-2.1
python-zope-i18nmessageid,ZPL-2.1
python-zope-interface,ZPL-2.1
python-zope-location,ZPL-2.1
python-zope-proxy,ZPL-2.1
python-zope-schema,ZPL-2.1
python-zope-security,ZPL-2.1
python-zope-testing,ZPL-2.1
python-zope-testrunner,ZPL-2.1
python-zopfli,Apache-2.0
python-zstandard,BSD
python-zxcvbn,MIT
python-zxcvbn-rs,MIT
pyzo,BSD
pyzy,LGPL
qalculate-gtk,GPL-2.0-only
qalculate-qt,GPL-2.0-only
qastools,MIT
qbe,MIT
qbittorrent,GPL-2.0-or-later
qbittorrent,GPL-3.0-or-later
qbittorrent-nox,GPL-2.0-or-later
qbittorrent-nox,GPL-3.0-or-later
qbs,LGPL-2.1-only
qca-qt5,LGPL-2.1-or-later
qca-qt6,LGPL-2.1-or-later
qcachegrind,GPL-2.0-or-later
qcachegrind,LGPL-2.0-or-later
qcad,GPL3
qconf,GPL
qcoro,MIT
qcustomplot,GPL3
qcustomplot-doc,GPL3
qd,BSD
qemu-audio-alsa,BSD-2-Clause
qemu-audio-alsa,BSD-2-Clause-Patent
qemu-audio-alsa,BSD-3-Clause
qemu-audio-alsa,CC0-1.0
qemu-audio-alsa,FSFAP
qemu-audio-alsa,GPL-1.0-or-later
qemu-audio-alsa,GPL-2.0-only
qemu-audio-alsa,GPL-2.0-only WITH Linux-syscall-note
qemu-audio-alsa,GPL-2.0-only WITH Linux-syscall-note OR BSD-2-Clause
qemu-audio-alsa,GPL-2.0-only WITH Linux-syscall-note OR BSD-3-Clause
qemu-audio-alsa,GPL-2.0-or-later
qemu-audio-alsa,GPL-2.0-or-later OR BSD-3-Clause
qemu-audio-alsa,GPL-2.0-or-later WITH Linux-syscall-note
qemu-audio-alsa,ISC
