pkg,replaces
python-pysocks,python-socks
python-pythia8,python-pythia
python-python-socks,python-python_socks
python-pywlroots,pywlroots
python-pyxdg,python-xdg
python-qscintilla-qt5,python-qscintilla-qt5-common
python-service-identity,python-service_identity
python-setuptools,python-distribute
python-sgmllib3k,python-sgmllib
python-simplesoapy,simplesoapy
python-simplespectral,simplespectral
python-sphinxcontrib-jquery,python-sphinxcontrib.jquery
python-stem,stem
python-update-checker,python-update_checker
python-virtualenv,virtualenv
python-z3-solver,python-z3
qca-qt5,qca
qcoro,qcoro-qt6
qcustomplot,qcustomplot-qt5
qqc2-desktop-style5,qqc2-desktop-style
qtkeychain-qt5,qtkeychain
qtqr,python-qrtools
quassel-client-qt,quassel-client-small
quassel-client-qt,quassel-remote
quazip-qt5,quazip
qwt,qwtpolar
r2ghidra,r2ghidra-dec
racket,racket-docs
rage-encryption,rust-rage
rdma-core,ibacm
rdma-core,infiniband-diags
rdma-core,libcxgb3
rdma-core,libcxgb4
rdma-core,libibcm
rdma-core,libibmad
rdma-core,libibumad
rdma-core,libibverbs
rdma-core,libiwpm
rdma-core,libmlx4
rdma-core,libmlx5
rdma-core,libmthca
rdma-core,libnes
rdma-core,libocrdma
rdma-core,librdmacm
rdma-core,rdma
rdma-core,srptools
remmina,remmina-plugins
ropper,python-ropper
rssguard-lite,rssguard-nowebengine
ruby,ruby-abbrev
ruby,ruby-base64
ruby,ruby-benchmark
ruby,ruby-bigdecimal
ruby,ruby-cgi
ruby,ruby-csv
ruby,ruby-date
ruby,ruby-delegate
ruby,ruby-did_you_mean
ruby,ruby-digest
ruby,ruby-drb
ruby,ruby-english
ruby,ruby-etc
ruby,ruby-fcntl
ruby,ruby-fiddle
ruby,ruby-fileutils
ruby,ruby-find
ruby,ruby-forwardable
ruby,ruby-getoptlong
ruby,ruby-io-console
ruby,ruby-io-nonblock
ruby,ruby-io-wait
ruby,ruby-ipaddr
ruby,ruby-json
ruby,ruby-logger
ruby,ruby-mutex_m
ruby,ruby-net-http
ruby,ruby-open-uri
ruby,ruby-psych
ruby,ruby-reline
ruby,ruby-ruby2_keywords
ruby,ruby-set
ruby,ruby-stringio
ruby,ruby-time
ruby,ruby-tmpdir
ruby,ruby-uri
ruby-bundled-gems,ruby-bundledgems
ruby-pkg-config,ruby-pkgconfig
ruby-ronn-ng,ruby-ronn
ruby-unicorn-engine,ruby-unicorn
rucola,rucola-notes
rust,cargo
rust,cargo-tree
rust,rust-docs
rust,rustfmt
rustic,rustic-rs
rustic,rustic-bin
rustup,cargo-tree
s2n-tls,s2n
s3fs-fuse,s3fs
scantailor-advanced,scantailor
schroot,dchroot
sdl12-compat,sdl
seatd,libseat
secrets,gnome-passwordsafe
selene,selene-linter
sequoia-sq,sequoia
sile,sile-luajit
solid5,solid
sonnet5,sonnet
spice-gtk,spice-glib
spice-gtk,spice-gtk3
spike,fesvr
stack,haskell-stack
stylua,stylua-bin
suitesparse,suitesparse64
suitesparse-graphblas,suitesparse64
svgo,nodejs-svgo
syndication5,syndication
syntax-highlighting5,syntax-highlighting
syslog-ng,eventlog
systemc,systemc-cmake
tea,gitea-tea
teensy_loader_cli,teensy-loader-cli
terminus-font,terminus-font-otb
texlive-basic,texlive-core
texlive-binextra,git-latexdiff
texlive-langother,texlive-langextra
texlive-mathscience,texlive-science
texstudio,texmakerx
threadweaver5,threadweaver
tidy,tidyhtml
tinymist,tinymist-bin
tinysparql,tracker3
tinyssh,tinyssh-convert
totem,totem-plugin
totem-pl-parser,totem-plparser
treedec,tdlib
ttf-agave-nerd,nerd-fonts-agave
ttf-anonymouspro-nerd,nerd-fonts-anonymous-pro
ttf-arimo-nerd,nerd-fonts-arimo
ttf-bitstream-vera-mono-nerd,nerd-fonts-bitstream-vera-mono
ttf-cascadia-code-nerd,nerd-fonts-cascadia-code
ttf-cascadia-code-nerd,otf-cascadia-code-nerd
ttf-dejavu-nerd,nerd-fonts-dejavu-complete
ttf-doulos-sil,ttf-sil-doulos
ttf-fantasque-nerd,nerd-fonts-fantasque-sans-mono
ttf-firacode-nerd,nerd-fonts-fira-code
ttf-gentium-plus,gentium-plus-font
ttf-go-nerd,nerd-fonts-go-mono
ttf-hack-nerd,nerd-fonts-hack
ttf-ibmplex-mono-nerd,nerd-fonts-ibm-plex-mono
ttf-inconsolata-go-nerd,nerd-fonts-inconsolata-go
ttf-inconsolata-lgc-nerd,nerd-fonts-inconsolatalgc
ttf-inconsolata-nerd,nerd-fonts-inconsolata
ttf-iosevka-nerd,nerd-fonts-iosevka
ttf-jetbrains-mono-nerd,nerd-fonts-jetbrains-mono
ttf-joypixels,ttf-emojione
ttf-liberation-mono-nerd,nerd-fonts-liberation-mono
ttf-meslo-nerd,nerd-fonts-meslo
ttf-monofur-nerd,nerd-fonts-monofur
ttf-monoid-nerd,nerd-fonts-monoid
ttf-mononoki-nerd,nerd-fonts-mononoki
ttf-montserrat,montserrat-ttf
ttf-mplus-nerd,nerd-fonts-mplus
ttf-nerd-fonts-symbols,ttf-nerd-fonts-symbols-1000-em
ttf-nerd-fonts-symbols,ttf-nerd-fonts-symbols-2048-em
ttf-nerd-fonts-symbols-mono,ttf-nerd-fonts-symbols-1000-em-mono
ttf-nerd-fonts-symbols-mono,ttf-nerd-fonts-symbols-2048-em-mono
ttf-noto-nerd,nerd-fonts-noto
ttf-profont-nerd,nerd-fonts-profont
ttf-roboto-mono-nerd,nerd-fonts-roboto-mono
ttf-scheherazade-new,ttf-sil-scheherazade
ttf-sourcecodepro-nerd,nerd-fonts-source-code-pro
ttf-space-mono-nerd,nerd-fonts-source-space-mono
ttf-terminus-nerd,nerd-fonts-terminus
ttf-tinos-nerd,nerd-fonts-source-tinos
ttf-ubuntu-mono-nerd,nerd-fonts-ubuntu-mono
ttf-ubuntu-mono-nerd,ttf-ubuntumono-nerd
ttf-ubuntu-nerd,nerd-fonts-ubuntu
ttf-victor-mono-nerd,ttf-nerd-fonts-victor-mono
tupitube,tupitube.desk
twine,python-twine
typst,typst-bin
ublock-origin,chromium-ublock-origin
udp2raw,udp2raw-tunnel
ueberzug,python-ueberzug
ukui-panel,ukui-indicators
ukui-wallpapers,ubuntukylin-wallpapers
v4l-utils,libv4l
vagrant,vagrant-substrate
vala,valadoc
valgrind,valgrind-multilib
vim,vim-minimal
vim-powerline,powerline-vim
vim-ultisnips,vim-snipmate
virt-viewer,virtviewer
virtiofsd,qemu-virtiofsd
virtualbox,virtualbox-ose
virtualbox-guest-iso,virtualbox-additions
virtualbox-guest-iso,virtualbox-iso-additions
virtualbox-guest-utils,virtualbox-archlinux-additions
virtualbox-guest-utils,virtualbox-guest-additions
virtualbox-guest-utils,virtualbox-guest-dkms
virtualbox-guest-utils-nox,virtualbox-guest-dkms
virtualbox-host-dkms,virtualbox-source
virtualbox-host-dkms,virtualbox-host-source
virtualbox-host-modules-arch,virtualbox-modules
virtualbox-host-modules-arch,virtualbox-host-modules
vlc,vlc-plugin
volatility3,volatility
vpl-gpu-rt,onevpl-intel-gpu
vulkan-mesa-layers,vulkan-mesa-layer
vulkan-swrast,vulkan-mesa
vulscan,nmap-vulscan
wacomtablet,kcm-wacomtablet
wasm-bindgen,wasm-bindgen-cli
web-ext,nodejs-web-ext
wezterm,wezterm-shell-integration
widelands,widelands-data
wine-gecko,wine_gecko
wireshark-qt,wireshark
wireshark-qt,wireshark-gtk
wireshark-qt,wireshark-common
woob,weboob
wxwidgets-common,wxgtk-common
wxwidgets-gtk3,wxgtk3
x264,libx264
x264,libx264-10bit
x264,libx264-all
xapp,xapps
xdg-desktop-portal-gnome,xdg-desktop-portal-gtk
xf86-input-synaptics,synaptics
xf86-video-intel,xf86-video-intel-uxa
xf86-video-intel,xf86-video-intel-sna
xh,ht-rs
xh,ht
xkeyboard-config,xkbdata
xorg-font-util,font-util
xorg-fonttosfnt,fonttosfnt
xorg-mkfontscale,xorg-mkfontdir
xorg-server,glamor-egl
xorg-server,xf86-video-modesetting
xorg-xwayland,xorg-server-xwayland
xournalpp,xournal
yubikey-manager-qt,yubikey-neo-manager
zbar,zbar-gtk
zbar,zbar-qt
zbar,python-zbar
zed,zed-editor
zeitgeist,zeitgeist-datahub
zim-tools,zimwriterfs
lib32-at-spi2-core,lib32-at-spi2-atk
lib32-at-spi2-core,lib32-atk
lib32-dbus,lib32-libdbus
lib32-libcanberra,lib32-libcanberra-pulse
lib32-libgcrypt15,lib32-libgcrypt11
lib32-libltdl,lib32-libtool
lib32-libpulse,lib32-pulseaudio
lib32-mangohud,lib32-mangoapp
lib32-mesa,lib32-libva-mesa-driver
lib32-mesa,lib32-mesa-libgl
lib32-mesa,lib32-mesa-vdpau
lib32-nvidia-utils,lib32-nvidia-libgl
lib32-ocl-icd,lib32-libcl
lib32-opencl-clover-mesa,lib32-opencl-mesa
lib32-opencl-rusticl-mesa,lib32-opencl-mesa
lib32-renderdoc,lib32-renderdoc-minimal
lib32-sdl12-compat,lib32-sdl
lib32-v4l-utils,lib32-libv4l
lib32-vulkan-mesa-layers,lib32-vulkan-mesa-layer
lib32-vulkan-swrast,lib32-vulkan-mesa
steam-native-runtime,steam-libs
