pkg,checkdepends
cl-trivial-garbage,cl-rt
cl-trivial-gray-streams,sbcl
clamav,check
clang14,llvm
clevis,jq
clevis,tang
cloud-init,procps-ng
cloud-init,python-httpretty
cloud-init,python-passlib
cloud-init,python-pytest
cloud-init,python-pytest-mock
cloud-init,python-responses
clusterssh,perl-cpan-changes
clusterssh,perl-file-slurp
clusterssh,perl-file-which
clusterssh,perl-readonly
clusterssh,perl-test-differences
clusterssh,perl-test-distmanifest
clusterssh,perl-test-perltidy
clusterssh,perl-test-pod
clusterssh,perl-test-pod-coverage
clusterssh,perl-test-pod-coverage
clusterssh,perl-test-trap
clusterssh,perl-sort-naturally
cockatrice,gtest
cockatrice,valgrind
codespell,python-pytest-dependency
composefs,python
container-diff,docker
containerd,procps-ng
containers-common,ripgrep
copr-cli,python-pytest
copr-cli,python-responses
corectrl,catch2
corectrl,trompeloeil
cosign,go-tools
cpp-hocon,python
criterion,python-cram
crystal,libyaml
crystal,libxml2
crystal,gmp
crystal,inetutils
crystal,git
csound,cunit
csound-doc,cunit
csvkit,python-pytest
cython,gdb
cython,python-numpy
cython,python-pytest
cython,python-tests
darcs,bc
darcs,time
davix,gtest
dbus-client-gen,python-pytest
dbus-client-gen,python-hypothesis
dbus-client-gen,python-hs-dbus-signature
deja-dup,xdg-user-dirs
dejagnu,tcl
devtools,bats
diff-so-fancy,bats-assert
diff-so-fancy,bats-support
diffoscope,python-pytest
diffoscope,python-jsbeautifier
diffoscope,python-h5py
diffoscope,acl
diffoscope,binutils
diffoscope,bzip2
diffoscope,cdrtools
diffoscope,cpio
diffoscope,e2fsprogs
diffoscope,enjarify
diffoscope,hdf5
diffoscope,imagemagick
diffoscope,java-environment
diffoscope,fontforge
diffoscope,gettext
diffoscope,ghc
diffoscope,gnupg
diffoscope,mono
diffoscope,pgpdump
diffoscope,poppler
diffoscope,sqlite
diffoscope,squashfs-tools
diffoscope,libxmlb
diffoscope,lz4
diffoscope,unzip
diffoscope,gzip
diffoscope,tar
diffoscope,tcpdump
diffoscope,vim
diffoscope,xz
diffoscope,llvm
diffoscope,colord
diffoscope,fpc
diffoscope,openssh
diffoscope,openssl
diffoscope,odt2txt
diffoscope,docx2txt
diffoscope,r
diffoscope,dtc
diffoscope,giflib
diffoscope,gnumeric
diffoscope,python-progressbar
diffoscope,binwalk
diffoscope,python-argcomplete
diffoscope,zstd
diffoscope,uboot-tools
direnv,zsh
direnv,fish
direnv,bash
direnv,tcsh
direnv,elvish
distrho-ports,kxstudio-lv2-extensions
distrho-ports,lv2lint
distrho-ports,xorg-server-xvfb
distrho-ports-lv2,kxstudio-lv2-extensions
distrho-ports-lv2,lv2lint
distrho-ports-lv2,xorg-server-xvfb
distrho-ports-vst,kxstudio-lv2-extensions
distrho-ports-vst,lv2lint
distrho-ports-vst,xorg-server-xvfb
distrho-ports-vst3,kxstudio-lv2-extensions
distrho-ports-vst3,lv2lint
distrho-ports-vst3,xorg-server-xvfb
distro-info,flake8
distro-info,python-black
distro-info,python-isort
distro-info,python-pylint
distro-info,shunit2
distro-info-data,python
dive,python
dns-lexicon,python-pytest
dns-lexicon,python-vcrpy
dns-lexicon,python-boto3
dns-lexicon,python-localzone
dns-lexicon,python-softlayer
dns-lexicon,python-zeep
dns-lexicon,bind
docker-compose,docker
dpf-plugins,lv2lint
dpf-plugins,kxstudio-lv2-extensions
dpf-plugins-clap,lv2lint
dpf-plugins-clap,kxstudio-lv2-extensions
dpf-plugins-dssi,lv2lint
dpf-plugins-dssi,kxstudio-lv2-extensions
dpf-plugins-ladspa,lv2lint
dpf-plugins-ladspa,kxstudio-lv2-extensions
dpf-plugins-lv2,lv2lint
dpf-plugins-lv2,kxstudio-lv2-extensions
dpf-plugins-standalone,lv2lint
dpf-plugins-standalone,kxstudio-lv2-extensions
dpf-plugins-vst,lv2lint
dpf-plugins-vst,kxstudio-lv2-extensions
dpf-plugins-vst3,lv2lint
dpf-plugins-vst3,kxstudio-lv2-extensions
dpkg,perl-io-string
dpkg,perl-test-pod
dragonfly-reverb,lv2lint
dragonfly-reverb-clap,lv2lint
dragonfly-reverb-lv2,lv2lint
dragonfly-reverb-standalone,lv2lint
dragonfly-reverb-vst,lv2lint
dragonfly-reverb-vst3,lv2lint
drgn,check
drpm,cmocka
dsq,python
dsq,jq
dsq,p7zip
dtc,valgrind
eartag,python-pytest
easyloggingpp,gtest
electrum,python-pycryptodomex
electrum,python-pyqt6
electrum,python-pytest
electrum,qt6-declarative
element,xorg-server-xvfb
elixir,git
ell,dbus
ell,procps-ng
enchant,unittestpp
entr,procps-ng
entr,git
entr,vim
entr,tmux
epiphany,aspell
epiphany,glibc-locales
epiphany,hspell
epiphany,hunspell
epiphany,libvoikko
epiphany,nuspell
epiphany,xorg-server-xvfb
eteroj.lv2,lv2lint
evolution-data-server,db
evolution-data-server-docs,db
exiv2,python
fabla,lv2lint
facter,rubocop
facter,ruby-bundler
facter,ruby-rake
facter,ruby-rubocop-performance
facter,ruby-rubocop-rspec
facter,ruby-rspec
facter,ruby-octokit
facter,ruby-webmock
facter,ruby-yard
facter,systemd
fastd,cmocka
fcft,ttf-dejavu
feedbackd,umockdev
feeluown,python-pytest
feeluown,python-pytest-asyncio
feeluown,python-pytest-mock
feeluown,python-pytest-qt
feeluown,python-pycryptodome
feeluown,xorg-server-xvfb
feeluown,yt-dlp
feeluown-netease,python-pytest
feeluown-qqmusic,python-pytest
feeluown-ytmusic,python-pytest
felix-rs,zoxide
firefox-adblock-plus,jq
firefox-noscript,jq
fish,expect
fish,procps-ng
flake8,python-pytest
flatpak,socat
flatpak,valgrind
flatpak-builder,valgrind
flatpak-docs,socat
flatpak-docs,valgrind
fomp.lv2,lv2lint
forgejo,openssh
fq,expect
functional-plus,doctest
gamemode,appstream
gammu,libdbi-drivers
gcc13,dejagnu
gcc13,expect
gcc13,inetutils
gcc13,python-pytest
gcc13,tcl
gcc13-fortran,dejagnu
gcc13-fortran,expect
gcc13-fortran,inetutils
gcc13-fortran,python-pytest
gcc13-fortran,tcl
gcc13-libs,dejagnu
gcc13-libs,expect
gcc13-libs,inetutils
gcc13-libs,python-pytest
gcc13-libs,tcl
gcovr,python-pytest
gd,ttf-liberation
gdm,check
gdnsd,perl-socket6
gdnsd,perl-io-socket-inet6
gdnsd,perl-http-daemon
gdnsd,perl-libwww
gdnsd,perl-net-dns
geeqie,xorg-server-xvfb
geeqie,shellcheck
geocode-glib,glibc-locales
geocode-glib-2,glibc-locales
geocode-glib-common,glibc-locales
geoip-database,geoip
geoip-database-extra,geoip
geonkick,lv2lint
geonkick-common,lv2lint
geonkick-lv2,lv2lint
geonkick-standalone,lv2lint
geonkick-vst3,lv2lint
gfeeds,python-pytest
ghq,git
girara,xorg-server-xvfb
git,openssh
git-branchless,git
git-delta,git
git-evtag,git
git-filter-repo,rsync
gitea,openssh
github-cli,openssh
gitleaks,git
gitu,git
gjs,gtk3
gjs,gtk4
gjs,xorg-server-xvfb
glad,python-pytest
glad,xorgproto
glad,libx11
glad,glfw-x11
glad,xorg-server-xvfb
glad,rust
glad,libxinerama
glad,libxcursor
glad,libxi
glade,xorg-server-xvfb
glib-networking,ca-certificates
glibmm,glib-networking
glibmm-2.68,glib-networking
glibmm-2.68-docs,glib-networking
glibmm-docs,glib-networking
glycin,dav1d
glycin,ffmpeg
glycin,rav1e
glycin,svt-av1
gmsynth.lv2,lv2lint
gnome-app-list,flake8
gnome-app-list,python-black
gnome-bluetooth,python-dbusmock
gnome-bluetooth-3.0,python-dbusmock
gnome-builder,weston
gnome-characters,weston
gnome-color-manager,xorg-server-xvfb
gnome-commander,xorg-server-xvfb
gnome-control-center,python-dbusmock
gnome-control-center,python-gobject
gnome-control-center,xorg-server-xvfb
gnome-desktop,xorg-server-xvfb
gnome-desktop-4,xorg-server-xvfb
gnome-desktop-common,xorg-server-xvfb
gnome-desktop-docs,xorg-server-xvfb
gnome-keybindings,python-dbusmock
gnome-keybindings,python-gobject
gnome-keybindings,xorg-server-xvfb
gnome-podcasts,xorg-server-xvfb
gnome-settings-daemon,python-dbusmock
gnome-settings-daemon,python-gobject
gnuradio,python-jsonschema
gnuradio,python-pytest
gnuradio,python-setuptools
gnuradio,xorg-server-xvfb
gnuradio-companion,python-jsonschema
gnuradio-companion,python-pytest
gnuradio-companion,python-setuptools
gnuradio-companion,xorg-server-xvfb
goverlay,appstream
goverlay,desktop-file-utils
gpgit,shellcheck
graphene,python-gobject
graphene,python-tappy
graphene-docs,python-gobject
graphene-docs,python-tappy
graphite,python-fonttools
graphite-docs,python-fonttools
grilo-plugins,gst-plugins-base
grilo-plugins,gst-plugins-good
grilo-plugins,python-gobject
grilo-plugins,tracker3-miners
gspell,aspell
gspell,hspell
gspell,hunspell
gspell,hunspell-en_us
gspell,libvoikko
gspell,nuspell
gspell,xorg-server-xvfb
gspell-docs,aspell
gspell-docs,hspell
gspell-docs,hunspell
gspell-docs,hunspell-en_us
gspell-docs,libvoikko
gspell-docs,nuspell
gspell-docs,xorg-server-xvfb
gst-devtools,xorg-server-xvfb
gst-devtools-libs,xorg-server-xvfb
gst-editing-services,xorg-server-xvfb
gst-libav,xorg-server-xvfb
gst-plugin-gtk,xorg-server-xvfb
gst-plugin-msdk,xorg-server-xvfb
gst-plugin-onnx,xorg-server-xvfb
gst-plugin-opencv,xorg-server-xvfb
gst-plugin-pipewire,desktop-file-utils
gst-plugin-pipewire,openal
gst-plugin-qml6,xorg-server-xvfb
gst-plugin-qmlgl,xorg-server-xvfb
gst-plugin-qsv,xorg-server-xvfb
gst-plugin-va,xorg-server-xvfb
gst-plugin-wpe,xorg-server-xvfb
gst-plugins-bad,xorg-server-xvfb
gst-plugins-bad-libs,xorg-server-xvfb
gst-plugins-base,xorg-server-xvfb
gst-plugins-base-libs,xorg-server-xvfb
gst-plugins-good,xorg-server-xvfb
gst-plugins-ugly,xorg-server-xvfb
gst-python,xorg-server-xvfb
gst-rtsp-server,xorg-server-xvfb
gstreamer,xorg-server-xvfb
gstreamer-docs,xorg-server-xvfb
gstreamer-vaapi,xorg-server-xvfb
gtk-doc,bc
gtk-doc,gtk3
gtk-doc,python-parameterized
gtk-doc,python-six
gtk-update-icon-cache,gst-plugin-pipewire
gtk-update-icon-cache,gst-plugins-base
gtk-update-icon-cache,mutter
gtk-update-icon-cache,noto-fonts
gtk-update-icon-cache,pipewire
gtk-update-icon-cache,python-pydbus
gtk-update-icon-cache,vulkan-swrast
gtk-update-icon-cache,weston
gtk-update-icon-cache,wireplumber
gtk2-perl,ttf-dejavu
gtk2-perl,xorg-server-xvfb
gtk4,gst-plugin-pipewire
gtk4,gst-plugins-base
gtk4,mutter
gtk4,noto-fonts
gtk4,pipewire
gtk4,python-pydbus
gtk4,vulkan-swrast
gtk4,weston
gtk4,wireplumber
gtk4-demos,gst-plugin-pipewire
gtk4-demos,gst-plugins-base
gtk4-demos,mutter
gtk4-demos,noto-fonts
gtk4-demos,pipewire
gtk4-demos,python-pydbus
gtk4-demos,vulkan-swrast
gtk4-demos,weston
gtk4-demos,wireplumber
gtk4-docs,gst-plugin-pipewire
gtk4-docs,gst-plugins-base
gtk4-docs,mutter
gtk4-docs,noto-fonts
gtk4-docs,pipewire
gtk4-docs,python-pydbus
gtk4-docs,vulkan-swrast
gtk4-docs,weston
gtk4-docs,wireplumber
gtk4-layer-shell,lua51-lgi
gtkmm-4.0,xorg-server-xvfb
gtkmm-4.0-docs,xorg-server-xvfb
gtkmm3,xorg-server-xvfb
gtkmm3-docs,xorg-server-xvfb
gtksourceview3,xorg-server-xvfb
gtksourceview4,xorg-server-xvfb
gtksourceview5,xorg-server-xvfb
gtksourceview5-docs,xorg-server-xvfb
guestfs-tools,linux
guestfs-tools,rpm-tools
gumbo-parser,gtest
gunicorn,python-eventlet
gunicorn,python-gevent
gunicorn,python-pytest
gxplugins.lv2,lv2lint
harfbuzz,python-fonttools
harfbuzz,python-setuptools
harfbuzz-cairo,python-fonttools
harfbuzz-cairo,python-setuptools
harfbuzz-docs,python-fonttools
harfbuzz-docs,python-setuptools
harfbuzz-icu,python-fonttools
harfbuzz-icu,python-setuptools
harfbuzz-utils,python-fonttools
harfbuzz-utils,python-setuptools
haskell-async,haskell-hunit
haskell-async,haskell-test-framework
haskell-async,haskell-test-framework-hunit
haskell-base-compat-batteries,haskell-hspec
haskell-base-compat-batteries,haskell-hspec-discover
haskell-base-compat-batteries,haskell-quickcheck
haskell-bifunctors,haskell-hspec
haskell-bifunctors,haskell-quickcheck
haskell-cabal-install-parsers,cabal-install
haskell-call-stack,haskell-nanospec
haskell-classy-prelude,haskell-hspec
haskell-clock,haskell-tasty
haskell-clock,haskell-tasty-quickcheck
haskell-colour,haskell-quickcheck
haskell-colour,haskell-random
haskell-colour,haskell-test-framework
haskell-colour,haskell-test-framework-quickcheck2
haskell-data-array-byte,haskell-quickcheck-classes-base
haskell-data-array-byte,haskell-tasty
haskell-data-array-byte,haskell-tasty-quickcheck
