claws-mail,libnotify
claws-mail,libcanberra
claws-mail,dbus
claws-mail,libxml2
claws-mail,curl
claws-mail,libarchive
claws-mail,libytnef
claws-mail,poppler-glib
claws-mail,ghostscript
claws-mail,libical
claws-mail,dillo
claws-mail,webkit2gtk-4.1
claws-mail,gumbo-parser
clevis,audit
clevis,cryptsetup
clevis,curl
clevis,dracut
clevis,glib2
clevis,jansson
clevis,jq
clevis,libpwquality
clevis,luksmeta
clevis,nmap
clevis,openssl
clevis,tpm2-tools
clevis,udisks2
clipgrab,ffmpeg
cliphist,xdg-utils
clipmenu,rofi
clipmenu,fzf
clojure,leiningen
clojure,rlwrap
cloud-init,cloud-guest-utils
cloud-init,netplan
cloud-init,python-passlib
cloud-init,python-urllib3
clutter-gst,gst-plugins-good
cmake,make
cmake,ninja
cmake,qt6-base
cmatrix,kbd
cmatrix,xterm
cmus,alsa-lib
cmus,libao
cmus,libpulse
cmus,faad2
cmus,ffmpeg
cmus,flac
cmus,jack
cmus,libmad
cmus,libmodplug
cmus,libmp4v2
cmus,libmpcdec
cmus,libsamplerate
cmus,libvorbis
cmus,libcdio-paranoia
cmus,opusfile
cmus,wavpack
cockatrice,zlib
cockatrice,mariadb-libs
cockpit,cockpit-storaged
cockpit,cockpit-packagekit
cockpit,cockpit-podman
cockpit,cockpit-machines
cockpit,pcp
cockpit,polkit
cockpit,sudo
cockpit,networkmanager
cockpit,sssd
cockpit,sscg
cockpit-machines,virt-install
cockpit-machines,virt-viewer
cockpit-storaged,clevis
code,bash-completion
code,zsh-completions
code,x11-ssh-askpass
coin,fontconfig
coin,freetype2
coin,openal
coin,zlib
collision,nautilus-python
colord,argyllcms
colord,colord-sane
commit,git
commit,mercurial
connman,bluez
connman,iwd
connman,openconnect
connman,openvpn
connman,pptpclient
connman,wpa_supplicant
consul-template,consul
consul-template,vault
contour,ncurses
coq,coqide
coq,coq-doc
coq,coin-or-csdp
corectrl,vulkan-tools
corectrl,mesa-utils
corectrl,util-linux
cosmic-session,cosmic-files
cosmic-session,cosmic-store
cosmic-session,cosmic-terminal
cosmic-session,cosmic-text-editor
cosmic-session,cosmic-wallpapers
cosmic-settings,power-profiles-daemon
cosmic-store,packagekit
cotp,cotp-converters
cotp-converters,cotp-converters
couchdb,erlang-nox
cowfortune,lolcat
cozy-stack,nodejs
cozy-stack,nsjail
cozy-stack,smtp-forwarder
cppcheck,qt6-tools
cppcheck,python-pygments
cppcheck,clang
cppzmq,cmake
crash,binutils
crawl-data,crawl-ncurses
crawl-data,crawl-tiles
createrepo_c,python
cri-o,apparmor
cri-o,btrfs-progs
cronie,smtp-server
cronie,smtp-forwarder
cross,docker
cross,podman
cryptominisat,python
crystal,shards
crystal,libyaml
crystal,gmp
crystal,libxml2
csound,alsa-lib
csound,csound-doc
csound,csound-plugins
csound,csoundqt
csound,hdf5
csound,java-runtime
csound,fluidsynth
csound,jack
csound,liblo
csound,ncurses
csound,portmidi
csound,portaudio
csound,libpulse
csound,stk
csound,libwebsockets
csound,wiiuse
csound,libx11
csound,lua
csound,openssl
csound,python-numpy
csound,vim-csound
csound,zlib
csoundqt,python
csvkit,ipython
cuda,gdb
cuda,glu
cuda,nvidia-utils
cuda,rdma-core
cuda-tools,perl
cuetools,id3v2
cuetools,python-mutagen
cups,cups-browsed
cups,libusb
cups,ipp-usb
cups,xdg-utils
cups,colord
cups,logrotate
cvc4,readline
cvs,openssh
cvs,inetutils
darkman,geoclue
darkman,xdg-desktop-portal-impl
darktable,dcraw
darktable,perl-image-exiftool
darktable,imagemagick
darktable,ghostscript
darktable,portmidi
darktable,gnuplot
dav1d,dav1d-doc
dbeaver,dbeaver-plugin-office
dbeaver,dbeaver-plugin-svg-format
dbmail,libldap
dbmail,libsieve
dbmate,mariadb
dbmate,postgresql
dbmate,sqlite
dbus-c++,expat
dd_rescue,lzo
ddclient,smtp-forwarder
debootstrap,gnupg
debootstrap,debian-archive-keyring
debootstrap,debian-ports-archive-keyring
debootstrap,ubuntu-keyring
decibels,gst-libav
decibels,gst-plugins-bad
decibels,gst-plugins-ugly
deepin-camera,deepin-image-viewer
deepin-camera,deepin-movie
deepin-camera,deepin-file-manager
deepin-control-center,redshift
deepin-daemon,networkmanager
deepin-daemon,bluez
deepin-daemon,iw
deepin-daemon,proxychains-ng
deepin-file-manager,deepin-manual
deepin-file-manager,deepin-shortcut-viewer
deepin-file-manager,deepin-screensaver
deepin-file-manager,deepin-movie
deepin-file-manager,deepin-terminal
deepin-file-manager,deepin-compressor
deepin-font-manager,deepin-file-manager
deepin-gtk-theme,gtk-engine-murrine
deepin-image-viewer,deepin-manual
deepin-image-viewer,deepin-shortcut-viewer
deepin-screen-recorder,deepin-shortcut-viewer
deepin-terminal,zssh
deepin-terminal-gtk,deepin-menu
deepin-terminal-gtk,zssh
default-cursors,adwaita-cursors
dehydrated,sudo
deja-dup,rclone
deja-dup,restic
deluge-gtk,libappindicator-gtk3
deluge-gtk,python-pygame
deluge-gtk,libnotify
delve,debuginfod
devtools,btrfs-progs
devtools,bat
devtools,nvchecker
dexed-clap,dexed-docs
dexed-standalone,dexed-docs
dexed-vst3,dexed-docs
dfu-util,python
dfu-util,python-intelhex
dhcpcd,openresolv
dictd,xclip
digikam,darktable
digikam,hugin
digikam,qt6-imageformats
digikam,rawtherapee
discord,libpulse
discord,libappindicator-gtk3
discord,xdg-utils
discover,flatpak
discover,fwupd
discover,packagekit-qt6
displaycal,gnome-color-manager
displaycal,colord-kde
distcc,gtk3
distrobox,docker
distrobox,podman
distrobuilder,cdrtools
distrobuilder,hivex
distrobuilder,wimlib
dkms,linux-headers
dkms,linux-lts-headers
dkms,linux-zen-headers
dkms,linux-hardened-headers
dmd,dtools
dmd,gcc-multilib
dmd,dmd-docs
dnf,unbound
dns-lexicon,python-boto3
dns-lexicon,python-localzone
dns-lexicon,python-softlayer
dns-lexicon,python-zeep
dnscrypt-proxy,python-urllib3
dnssec-tools,perl-tk
dnssec-tools,perl-graphviz
docbook-utils,perl-sgmls
docbook-utils,lynx
docbook-utils,texlive-htmlxml
docbook5-xml,perl
docker,btrfs-progs
docker,pigz
docker,docker-scan
docker,docker-buildx
docker-machine,net-tools
dolphin,ffmpegthumbs
dolphin,kde-cli-tools
dolphin,kdegraphics-thumbnailers
dolphin,kdenetwork-filesharing
dolphin,kio-admin
dolphin,konsole
dolphin,purpose
dolphin-emu,pulseaudio
dolphin-emu-tool,pulseaudio
doomretro,timidity++
dopewars,sdl2
dopewars,gtk3
dopewars,alsa-lib
dopewars,audiofile
dopewars,sdl2_mixer
dotnet-host,bash-completion
dotnet-runtime,lttng-ust2.12
dotnet-runtime-6.0,lttng-ust2.12
dotnet-runtime-7.0,lttng-ust2.12
dotnet-sdk,aspnet-targeting-pack
dotnet-sdk-6.0,aspnet-targeting-pack-6.0
dotnet-sdk-7.0,aspnet-targeting-pack
dotnet-source-built-artifacts,bash-completion
dotnet-source-built-artifacts-6.0,bash-completion
dotnet-source-built-artifacts-7.0,bash-completion
dotnet-targeting-pack,bash-completion
dotnet-targeting-pack-6.0,bash-completion
dotnet-targeting-pack-7.0,bash-completion
doublecmd-gtk2,lua
doublecmd-gtk2,unzip
doublecmd-gtk2,zip
doublecmd-gtk2,p7zip
doublecmd-gtk2,libunrar
doublecmd-gtk2,imagemagick
doublecmd-gtk2,ffmpegthumbnailer
doublecmd-gtk2,mplayer
doublecmd-qt5,lua
doublecmd-qt5,unzip
doublecmd-qt5,zip
doublecmd-qt5,p7zip
doublecmd-qt5,libunrar
doublecmd-qt5,imagemagick
doublecmd-qt5,ffmpegthumbnailer
doublecmd-qt5,mplayer
doublecmd-qt6,lua
doublecmd-qt6,unzip
doublecmd-qt6,zip
doublecmd-qt6,p7zip
doublecmd-qt6,libunrar
doublecmd-qt6,imagemagick
doublecmd-qt6,ffmpegthumbnailer
doublecmd-qt6,mplayer
dovecot,libldap
dovecot,lua53
dovecot,clucene
doxygen,graphviz
doxygen,qt6-base
doxygen,texlive-fontsrecommended
doxygen,texlive-fontutils
doxygen,texlive-latexextra
doxygen,texlive-plaingeneric
dpf-plugins-clap,projectm
dpf-plugins-lv2,projectm
dpf-plugins-standalone,jack
dpf-plugins-vst,projectm
dpf-plugins-vst3,projectm
dracut,binutils
dracut,bluez
dracut,btrfs-progs
dracut,busybox
dracut,bzip2
dracut,cifs-utils
dracut,connman
dracut,cryptsetup
dracut,dash
dracut,dhclient
dracut,dmraid
dracut,e2fsprogs
dracut,elfutils
dracut,f2fs-tools
dracut,fuse3
dracut,gzip
dracut,iproute2
dracut,iputils
dracut,lvm2
dracut,lzop
dracut,mdadm
dracut,multipath-tools
dracut,nbd
dracut,ndctl
dracut,networkmanager
dracut,nfs-utils
dracut,ntfs-3g
dracut,nvme-cli
dracut,open-iscsi
dracut,openssh
dracut,pigz
dracut,plymouth
dracut,rng-tools
dracut,sbsigntools
dracut,squashfs-tools
dracut,tar
dracut,tpm2-tools
dracut,xz
drgn,python-prompt_toolkit
drone-runner-docker,drone
drone-runner-exec,drone
drone-runner-ssh,drone
drumkv1-lv2,qt6-wayland
drumkv1-standalone,new-session-manager
