pkg,provides
cuda,libcudart.so
cuda,libcublas.so
cuda,libcublas.so
cuda,libcusolver.so
cuda,libcusolver.so
cuda,libcusparse.so
cuda,libcusparse.so
d-spy,libdspy-1.so
dart-sass,sass
dav1d,libdav1d.so
dbus-c++,libdbus-c++-1.so
dbus-c++,libdbus-c++-glib-1.so
dconf,libdconf.so
deepin-anything-arch,DEEPIN-ANYTHING-MODULE
deepin-anything-dkms,DEEPIN-ANYTHING-MODULE
deepin-file-manager,deepin-desktop
deepin-launchpad,deepin-launcher
deepin-screen-recorder,deepin-screenshot
deepin-session-shell,lightdm-deepin-greeter
deepin-terminal-gtk,deepin-terminal
deepin-terminal-gtk,deepin-terminal-old
dhclient,dhcp-client
dhcpcd,dhcp-client
dioxus-cli,dx
distorm,libdistorm3.so
distro-info,python-distro-info
distro-info,perl-distro-info
dleyna,dleyna-connector-dbus
dleyna,dleyna-core
dleyna,dleyna-renderer
dleyna,dleyna-server
dleyna,libdleyna-core-1.0.so
dma,smtp-forwarder
dmd,d-compiler
dns-over-https,dns-over-https-client
dns-over-https,dns-over-https-server
docbook5-xml,docbook5-schemas
docbook5-xml,docbook-xml-5.0
docbook5-xml,docbook-xml-5.1
dotnet-runtime,dotnet-runtime-8.0
dotnet-sdk,dotnet-sdk-8.0
dotnet-targeting-pack,dotnet-targeting-pack-8.0
doublecmd-gtk2,doublecmd
doublecmd-qt5,doublecmd
doublecmd-qt6,doublecmd
dovecot,imap-server
dovecot,pop3-server
dracut,initramfs
dropbear-scp,scp
drumstick,libdrumstick-alsa.so
drumstick,libdrumstick-file.so
drumstick,libdrumstick-rt.so
drumstick,libdrumstick-widgets.so
dssi,dssi-host
dtools,ddemangle
dtools,dustmite
dtools,rdmd
duktape,libduktape.so
duktape,libduktaped.so
dunst,notification-daemon
ecasound,lv2-host
ecl,common-lisp
ecl,cl-asdf
editline,libeditline.so
editorconfig-checker,ec
edk2-aarch64,edk2-armvirt
edk2-ovmf,ovmf
edk2-shell,uefi-shell
egl-gbm,libnvidia-egl-gbm.so
egl-wayland,libnvidia-egl-wayland.so
element,ladspa-host
element,lv2-host
element,vst3-host
emacs-nativecomp,emacs
emacs-nox,emacs
emacs-wayland,emacs
emscripten,binaryen
enchant,libenchant-2.so
endeavour,gnome-todo
enter-tex,gnome-latex
erlang,erlang-nox
espeak-ng,espeak-ng-espeak
espflash,cargo-espflash
ettercap,libettercap.so
ettercap-gtk,ettercap
ettercap-gtk,libettercap.so
evince,libevdocument3.so
evince,libevview3.so
evolution-data-server,libcamel-1.2.so
evolution-data-server,libebackend-1.2.so
evolution-data-server,libebook-1.2.so
evolution-data-server,libebook-contacts-1.2.so
evolution-data-server,libecal-2.0.so
evolution-data-server,libedata-book-1.2.so
evolution-data-server,libedata-cal-2.0.so
evolution-data-server,libedataserver-1.2.so
evolution-data-server,libedataserverui-1.2.so
exfat-utils,fuse-exfat
exfatprogs,exfat-utils
exim,smtp-server
exim,smtp-forwarder
exiv2,libexiv2.so
eza,exa
f2fs-tools,libf2fs.so
f2fs-tools,libf2fs_format.so
faac,libfaac.so
faad2,faad
faad2,libfaad_drm.so
faad2,libfaad.so
faust,libfaustmachine.so
faust,libfaust.so
faust,libOSCFaust.so
faust,libHTTPDFaust.so
fcft,libfcft.so
fcitx,fcitx-gtk2
fcitx,fcitx-gtk3
fcitx5-configtool,fcitx5-config-qt
fcitx5-configtool,kcm-fcitx5
fcitx5-nord,fcitx5-nord-dark
fcron,cron
feeluown,feeluown-local
ffmpeg,libavcodec.so
ffmpeg,libavdevice.so
ffmpeg,libavfilter.so
ffmpeg,libavformat.so
ffmpeg,libavutil.so
ffmpeg,libpostproc.so
ffmpeg,libswresample.so
ffmpeg,libswscale.so
ffmpeg4.4,libavcodec.so
ffmpeg4.4,libavdevice.so
ffmpeg4.4,libavfilter.so
ffmpeg4.4,libavformat.so
ffmpeg4.4,libavutil.so
ffmpeg4.4,libpostproc.so
ffmpeg4.4,libswresample.so
ffmpeg4.4,libswscale.so
ffms2,avisynth-plugin-ffms2
ffms2,libffms2.so
ffms2,vapoursynth-plugin-ffms2
fftw,libfftw3q_threads.so
fftw,libfftw3q_omp.so
fftw,libfftw3q.so
fftw,libfftw3l_threads.so
fftw,libfftw3l_omp.so
fftw,libfftw3l.so
fftw,libfftw3f_threads.so
fftw,libfftw3f_omp.so
fftw,libfftw3f.so
fftw,libfftw3_threads.so
fftw,libfftw3_omp.so
fftw,libfftw3.so
fftw-openmpi,libfftw3l_mpi.so
fftw-openmpi,libfftw3f_mpi.so
fftw-openmpi,libfftw3_mpi.so
fig2dev,transfig
firrtl,firrtl
flac,libFLAC.so
flac,libFLAC++.so
flatpak,libflatpak.so
fltk,libfltk_images.so
fltk,libfltk_gl.so
fltk,libfltk_forms.so
fltk,libfltk.so
fluidsynth,libfluidsynth.so
fluidsynth,soundfont-synthesizer
fmt,libfmt.so
folks,libfolks.so
folks,libfolks-dummy.so
folks,libfolks-eds.so
fontconfig,fontconfig-docs
fontconfig,libfontconfig.so
foomatic-db,foomatic-db-foo2zjs
freeglut,glut
freerdp,libfreerdp-client3.so
freerdp,libfreerdp-server-proxy3.so
freerdp,libfreerdp-server3
freerdp,libfreerdp-shadow-subsystem3.so
freerdp,libfreerdp-shadow3.so
freerdp,libfreerdp3.so
freerdp,libwinpr-tools3.so
freerdp,libwinpr3.so
freerdp2,libfreerdp2.so
freerdp2,libfreerdp-client2.so
freerdp2,libfreerdp-server2
