package,provides
"dav1d","libdav1d.so=7-64"
"dbus-broker-units","dbus-units"
"dbus-c++","libdbus-c++-1.so=0-64"
"dbus-c++","libdbus-c++-glib-1.so=0-64"
"dbus-daemon-units","dbus-units"
"dbus","libdbus"
"dbus","libdbus-1.so=3-64"
"dconf","libdconf.so=1-64"
"deepin-anything-arch","DEEPIN-ANYTHING-MODULE"
"deepin-anything-dkms","DEEPIN-ANYTHING-MODULE"
"deepin-file-manager","deepin-desktop"
"deepin-screen-recorder","deepin-screenshot"
"deepin-session-shell","lightdm-deepin-greeter"
"deepin-terminal-gtk","deepin-terminal"
"deepin-terminal-gtk","deepin-terminal-old"
"device-mapper","libdevmapper-event.so=1.02-64"
"device-mapper","libdevmapper.so=1.02-64"
"dhclient","dhcp-client"
"dhcpcd","dhcp-client"
"dialog","libdialog.so=15-64"
"dioxus-cli","dx"
"distorm","libdistorm3.so=3-64"
"distro-info","perl-distro-info"
"distro-info","python-distro-info"
"dleyna","dleyna-connector-dbus"
"dleyna","dleyna-core"
"dleyna","dleyna-renderer"
"dleyna","dleyna-server"
"dleyna","libdleyna-core-1.0.so=6-64"
"dma","smtp-forwarder"
"dmd","d-compiler=2.109.1"
"dns-over-https","dns-over-https-client"
"dns-over-https","dns-over-https-server"
"docbook5-xml","docbook-xml-5.0"
"docbook5-xml","docbook-xml-5.1"
"docbook5-xml","docbook5-schemas"
"dotnet-runtime","dotnet-runtime-8.0"
"dotnet-sdk","dotnet-sdk-8.0"
"dotnet-targeting-pack","dotnet-targeting-pack-8.0"
"doublecmd-gtk2","doublecmd"
"doublecmd-qt5","doublecmd"
"doublecmd-qt6","doublecmd"
"dovecot","imap-server"
"dovecot","pop3-server"
"dracut","initramfs"
"dropbear-scp","scp"
"drumstick","libdrumstick-alsa.so=2-64"
"drumstick","libdrumstick-file.so=2-64"
"drumstick","libdrumstick-rt.so=2-64"
"drumstick","libdrumstick-widgets.so=2-64"
"dssi","dssi-host"
"dtools","ddemangle"
"dtools","dustmite"
"dtools","rdmd"
"duktape","libduktape.so=207-64"
"duktape","libduktaped.so=207-64"
"dunst","notification-daemon"
"e2fsprogs","libcom_err.so=2-64"
"e2fsprogs","libe2p.so=2-64"
"e2fsprogs","libext2fs.so=2-64"
"e2fsprogs","libss.so=2-64"
"ecasound","lv2-host"
"ecl","cl-asdf"
"ecl","common-lisp"
"editline","libeditline.so=1-64"
"editorconfig-checker","ec"
"edk2-aarch64","edk2-armvirt"
