package,conflicts
"jdk11-openjdk","jre11-openjdk"
"jdk11-openjdk","jre11-openjdk-headless"
"jdk17-openjdk","jre17-openjdk"
"jdk17-openjdk","jre17-openjdk-headless"
"jdk21-openjdk","jre21-openjdk"
"jdk21-openjdk","jre21-openjdk-headless"
"jenkins","jenkins-ci"
"joyutils","linuxconsole"
"jre-openjdk-headless","jdk-openjdk"
"jre-openjdk-headless","jre-openjdk"
"jre-openjdk","jdk-openjdk"
"jre-openjdk","jre-openjdk-headless"
"jre11-openjdk-headless","jdk11-openjdk"
"jre11-openjdk-headless","jre11-openjdk"
"jre11-openjdk","jdk11-openjdk"
"jre11-openjdk","jre11-openjdk-headless"
"jre17-openjdk-headless","jdk17-openjdk"
"jre17-openjdk-headless","jre17-openjdk"
"jre17-openjdk","jdk17-openjdk"
"jre17-openjdk","jre17-openjdk-headless"
"jre21-openjdk-headless","jdk21-openjdk"
"jre21-openjdk-headless","jre21-openjdk"
"jre21-openjdk","jdk21-openjdk"
"jre21-openjdk","jre21-openjdk-headless"
"jupyter-collaboration","jupyter-server-ydoc"
"jupyter-console","jupyter_console"
"jupyterlab-pygments","jupyterlab_pygments"
"kactivities-stats5","kactivities-stats<5.111"
"kactivities5","kactivities<5.111"
"kakoune-lsp","kak-lsp"
"karchive5","karchive<5.111"
"kate","kwrite"
"kauth5","kauth<5.111"
"kbd","vlock"
"kbookmarks5","kbookmarks<5.111"
"kcalendarcore5","kcalendarcore<5.111"
"kcmutils5","kcmutils<5.111"
"kcodecs5","kcodecs<5.111"
"kcolorpicker","kcolorpicker-qt6"
"kcompletion5","kcompletion<5.111"
"kconfig5","kconfig<5.111"
"kconfigwidgets5","kconfigwidgets<5.111"
"kcontacts5","kcontacts<1:5.111"
"kcoreaddons5","kcoreaddons<5.111"
"kcrash5","kcrash<5.111"
"kdbusaddons5","kdbusaddons<5.111"
"kdeclarative5","kdeclarative<5.111"
"kded5","kded<5.111"
"kdesdk-kio","kdesdk-kioslaves"
"kdesu5","kdesu<5.111"
"kdiagram5","kdiagram<2.8.0-2"
"kdnssd5","kdnssd<5.111"
"kdoctools5","kdoctools<5.111"
"kdsoap-qt5","kdsoap"
"kernel-hardening-checker","kconfig-hardened-check"
"kgamma","kgamma5"
"kglobalaccel5","kglobalaccel<5.111"
"kguiaddons5","kguiaddons<5.111"
"kholidays5","kholidays<1:5.111"
"ki18n5","ki18n<5.111"
"kiconthemes5","kiconthemes<5.111"
"kidentitymanagement5","kidentitymanagement<24"
"kidletime5","kidletime<5.111"
"kimageannotator","kimageannotator-qt6"
"kimageformats5","kimageformats<5.111"
"kio-zeroconf","zeroconf-ioslave"
"kio5","kio<5.111"
"kirigami-addons5","kirigami-addons<0.11.75"
"kitemmodels5","kitemmodels<5.111"
"kitemviews5","kitemviews<5.111"
"kjobwidgets5","kjobwidgets<5.111"
"kmime5","kmime<24"
"knewstuff5","knewstuff<5.111"
"knotifications5","knotifications<5.111"
"knotifyconfig5","knotifyconfig<5.111"
"kodi-gles","kodi"
"kodi","kodi-gles"
"konsolepart5","konsole<24"
"kpackage5","kpackage<5.111"
"kparts5","kparts<5.111"
"kpimtextedit5","kpimtextedit<24"
"kplotting5","kplotting<5.111"
"kpty5","kpty<5.111"
"kquickimageeditor5","kquickimageeditor<0.3.0-2"
"ksanecore5","ksanecore<24"
"kservice5","kservice<5.111"
"ktextaddons5","ktextaddons<1.5.2-3"
"ktexteditor5","ktexteditor<5.111"
"ktextwidgets5","ktextwidgets<5.111"
"kubo","go-ipfs"
"kunitconversion5","kunitconversion<5.111"
"kuserfeedback","kuserfeedback5"
"kwallet5","kwallet<5.111"
"kwayland5","kwayland<5.111"
"kwidgetsaddons5","kwidgetsaddons<5.111"
"kwindowsystem5","kwindowsystem<5.111"
"kxmlgui5","kxmlgui<5.111"
"lazarus-gtk2","lazarus-gtk3"
"lazarus-gtk2","lazarus-qt5"
"lazarus-gtk2","lazarus-qt6"
"lazarus-gtk3","lazarus-gtk2"
"lazarus-gtk3","lazarus-qt5"
"lazarus-gtk3","lazarus-qt6"
"lazarus-qt5","lazarus-gtk2"
"lazarus-qt5","lazarus-gtk3"
